sat_id,x,y,z
0,-633.2316423655119,-481.6105378102652,3929.6286459890857
1,-630.6828183932103,-393.484400331647,3931.1520532134905
2,-658.0479088874995,-422.9082347053296,3930.517738144696
3,-639.2683335314941,-416.7716432468932,3931.382165936791
4,-631.3717518784737,-426.8790113118536,3917.566686398012
5,-560.7452694971475,-543.8214687291673,3913.064570506353
6,-600.3794075744373,-401.849597168065,3946.431068482312
7,-604.5687933189715,-433.6618465150974,3934.628934973529
8,-663.3156736344918,-406.7190611086094,3935.9373137935218
9,-583.8922468637927,-449.5718677100763,3944.14536063272
10,-633.580811879378,-394.3497735717637,3951.828582782293
11,-643.7335240831401,-508.1503889628584,3896.208197825096
12,-629.7126692625658,-430.4994951900349,3931.3687419993626
13,-648.4788564377502,-458.6570490142316,3931.088153829072
14,-597.3971204851359,-482.5351271561596,3927.9164076362176
15,-600.4244558746277,-471.63294161282687,3907.906126189452
16,-613.7195354780068,-450.19907735854446,3914.360508266839
17,-611.8102030103637,-439.24279034684247,3937.797743602897
18,-658.7294104627845,-433.6021745005616,3951.657154889749
19,-575.5551643054987,-472.34607212247306,3916.385468710805
20,-601.8626225189977,-417.460001508956,3940.7209401860378
21,-595.7549115112196,-492.7358877508327,3915.2286637047614
22,-577.4883692857735,-450.1324355217955,3921.880200727992
23,-590.249202010998,-413.1424414354392,3928.213350842458
24,-605.6285045578642,-406.49302933948616,3969.368200275933
25,-586.9185269008749,-461.9240607608132,3941.0763751138384
26,-701.6731403088925,-338.4027799421899,3972.7667120434194
27,-603.654597761899,-476.41750675085655,3929.382544860228
28,-635.3778639628698,-453.3729371196241,3951.901619686855
29,-551.7669445236505,-561.1955350326037,3902.5793131079217
30,-596.6791473791395,-478.0526883622214,3910.367275963692
31,-617.2527664793922,-503.35400020849625,3921.3186235474
32,-645.0626433670544,-394.18899089626586,3926.9165422745614
33,-627.7575967630746,-447.7851519994809,3928.4535357946897
34,-620.486983541988,-397.00739818921664,3935.416160977306
35,-618.6742790717683,-395.345334186265,3949.964299499055
36,-642.5352019982627,-471.779459540999,3941.692437204759
37,-605.4303640820353,-489.11617708916697,3911.140841739435
38,-639.2503767155752,-423.8374482561685,3941.6976816342576
39,-672.0117365688657,-452.8858567271675,3929.0917779488673
40,-588.8136420638601,-490.1696381953444,3914.518044374596
41,-585.929835084426,-433.6982423324856,3941.706930221871
42,-606.8973507931428,-466.2621711090383,3927.204908164817
43,-612.9939212455095,-434.2819162933507,3925.683418580929
44,-580.5837986720346,-393.90871488015495,3965.642830776899
45,-585.0959487291286,-468.60551411323866,3926.069092290458
46,-650.2749998912672,-506.8177963492661,3902.877217613005
47,-612.0874841662015,-506.1108029825174,3908.746181483488
48,-635.6922980270967,-469.8205366468171,3915.669004930751
49,-650.8127703443154,-372.0955233523183,3946.207903740212
