sat_id,x,y,z
0,1664128.03969875,2564104.22063483,-737975.910132249
1,1645939.80048865,2610282.22000948,-710674.251450166
2,1605887.43087676,2572407.78771639,-835868.271332443
3,1680932.09070301,2640944.96625731,-609163.965636477
4,1646871.59789117,2634594.2765874,-642231.120562297
5,1648904.39103352,2573577.06891433,-777705.413368519
6,1632342.70190828,2616245.09366874,-714488.464199869
7,1659227.17458076,2588570.98871753,-725071.68851308
8,1681360.40705184,2612882.45955345,-666005.368319536
9,1624462.33262386,2613015.22913781,-705306.788809352
10,1594096.25188201,2591580.29083691,-788766.18599433
11,1643597.38387573,2576967.67537191,-795755.941910569
12,1657377.79075666,2613177.15773568,-720523.053097059
13,1608171.61603461,2591677.7236303,-758565.896922427
14,1628714.02499622,2631726.62215269,-642941.824865141
15,1638285.84568867,2625073.26766048,-703195.131027198
16,1606012.28922867,2548178.73089695,-839197.216380417
17,1659965.89441536,2590756.75380594,-751623.729765964
18,1635308.10807353,2607626.08852116,-745019.400555724
19,1633125.336561,2594159.43705736,-762796.089454238
20,1607343.87256279,2590398.49972782,-775379.507825683
21,1666485.08400873,2573930.47404113,-736183.027358862
22,1639111.36316219,2597065.41167598,-731389.450619954
23,1611098.05076722,2615150.3362328,-769251.974652656
24,1647702.48250339,2576814.85731222,-811890.707806086
25,1637032.46664919,2580310.48513761,-775525.376272756
26,1687797.77820695,2602998.47483536,-698050.386536312
27,1648437.85059099,2584454.96913674,-748272.937058826
28,1644599.62719753,2562942.54909732,-787079.574166348
29,1636661.93692136,2574766.54778382,-788361.815359591
30,1674423.21844659,2601776.66361554,-693229.194052051
31,1639760.42372294,2606832.29636338,-731256.448513916
32,1664272.73724817,2618792.97678878,-657990.073569509
33,1647769.77309631,2585326.65975254,-752404.550895988
34,1692914.81161377,2631007.11825018,-642015.619405381
35,1637151.79299182,2560042.98648264,-764003.203472674
36,1530337.53853341,2607182.47565439,-866646.731273234
37,1546132.23973834,2599451.01567016,-871066.8728029
38,1600074.44137107,2583980.93103645,-834521.327803702
39,1629547.3381726,2624309.86183659,-736978.723238122
40,1666380.86186191,2559239.60567011,-801984.022938974
41,1643882.96579171,2564870.28342571,-811163.283957482
42,1655181.37255449,2587584.77964297,-733677.524989403
43,1641274.15363106,2597319.01533684,-757717.683951541
44,1617655.2807122,2571844.3858796,-813057.29483951
45,1651002.88353027,2616315.6809741,-671761.757330546
46,1640810.54664105,2572806.46608031,-734105.358739515
47,1681906.55359834,2610996.62329866,-619737.421603363
48,1631913.80587569,2576899.66974765,-767629.700441155
49,1603245.81240774,2583681.27830773,-816042.593202045
50,1622016.76901799,2592155.45772605,-791197.852578905
51,1617719.0056431,2575449.21663968,-784325.59851943
52,1617162.1872028,2583679.12746648,-767832.117873124
53,1599682.2035013,2526862.98473481,-925242.925266586
54,1633556.39347478,2506090.40343,-905835.885825332
55,1637985.4559681,2601601.18564929,-722510.196754269
56,1658215.22101847,2602053.55175057,-728670.851586786
57,1689906.98476065,2574218.93244524,-693807.605477916
58,1670464.05253519,2577299.0927702,-734777.283258038
59,1645582.81841203,2578906.18993317,-738149.930114475
60,1641024.32808917,2637061.5164853,-692443.808480849
61,1621734.31974116,2559079.90198812,-845998.029543698
62,1640543.03143595,2611228.13315228,-743507.469480867
63,1667421.58693285,2604819.67700812,-676282.987774127
64,1679172.85594014,2556634.05949304,-773339.994106682
65,1644505.39659331,2620082.17607379,-700606.259474845
66,1673977.28271286,2603599.71685403,-694809.997597866
67,1616816.71605646,2626703.4557239,-688393.38870918
68,1609044.4448126,2638890.52525394,-728043.23173675
69,1659011.36805557,2606757.73413023,-742613.068875365
70,1607195.47679074,2614106.32014972,-734617.535734964
71,1615443.06128127,2600780.58347649,-752050.14194206
72,1689029.39743418,2594586.05455231,-664575.045123253
73,1641171.54490621,2603533.60589144,-732248.780218643
74,1652416.11543445,2611980.18009633,-706177.062574481
75,1623281.66377989,2610120.55050486,-707462.526089873
76,1633663.93814643,2620630.29085869,-694257.28979483
77,1629169.81899243,2626152.32626264,-712657.1946683
78,1623957.93996614,2604572.78412325,-752683.726804904
79,1627686.35592876,2573970.53077251,-819249.543028358
80,1620222.08687468,2586338.3813488,-740625.941633421
81,1685935.39122805,2560375.3969702,-700460.055468206
82,1637129.90627822,2544927.36395713,-825478.83358305
83,1601005.98434198,2614350.64175325,-708133.225052049
84,1661919.42646587,2586805.89623509,-717174.038171953
85,1617274.17268549,2543193.07448175,-857266.00925159
86,1642547.80864802,2648959.89334399,-664158.613279132
87,1662861.87337271,2589238.23417478,-744082.228765287
88,1636870.54355382,2539616.51635477,-815529.545567746
89,1638298.21882651,2570227.2070564,-771748.568045602
90,1629335.64676355,2596030.77021675,-745535.030790579
91,1621475.94879119,2563877.23383351,-791909.56881001
92,1651769.31972006,2584902.2851652,-751460.227869046
93,1700251.7863678,2608209.45529288,-627912.021582943
94,1645265.03730447,2596146.41909875,-726277.661491
95,1626622.60048442,2583745.13266379,-786803.09499573
96,1652016.73714238,2553393.53311562,-786736.904855859
97,1642814.44942695,2585959.58217039,-733970.270373114
98,1647920.93848124,2544265.54918952,-811768.165338212
99,1616236.9067618,2563335.39059359,-880604.593129256
