sat_id,x,y,z
0,641794.913967208,902360.193304193,4474116.29267581
1,579336.565781258,1027712.96300418,4477343.69866445
2,650020.048392547,1011237.92580828,4433289.45301415
3,512224.984133041,993128.763792266,4504895.50470596
4,695578.2715527,968293.071893913,4507018.98543019
5,611997.326188544,1018658.39794045,4454629.15493487
6,589480.899033702,974208.925969684,4473766.44942491
7,652919.083416346,989379.176695431,4476421.40351646
8,614435.709589324,1014579.57277011,4492180.75532741
9,623886.866466466,970742.443534989,4485402.66704758
10,607707.44718517,1086407.68941453,4459607.63200579
11,633466.882401339,1027400.31495583,4444132.00313571
12,659080.13269376,941785.862908428,4463184.2136497
13,714057.58883701,988818.179169785,4472389.27911124
14,609241.920559847,991699.920685078,4513377.19204936
15,571967.246815225,1035508.9345522,4476584.42964002
16,598686.53549985,993358.351274385,4441925.64278229
17,649228.462796757,1046408.2589603,4460732.27196663
18,588749.742762963,1021734.47964244,4460784.26227283
19,663870.191282601,975351.946701084,4457747.06507692
20,557399.203224787,1040233.46386133,4460286.4453088
21,604789.291772993,894814.931882693,4466835.61762342
22,585467.316734784,959688.921178491,4470346.99474099
23,606360.025636679,985229.472067786,4448124.90562318
24,654728.367807105,1064496.53289637,4434547.8704828
25,706993.252859568,992568.267724645,4457949.83166071
26,561291.595486218,1009855.95277886,4472164.50136005
27,588705.372527997,994001.55974719,4465462.98275896
28,564373.103238355,1063288.89762298,4455802.36632016
29,594859.773055232,1074940.40375708,4453197.59554743
30,611069.528908583,979118.122159642,4481525.60207468
31,694430.862128835,1059917.74014491,4473997.31672403
32,647064.44647195,913253.201689741,4494534.823421
33,608179.344324988,984511.66451775,4462851.83848096
34,589957.499494341,962171.485564295,4488153.46419419
35,563715.169334454,991075.486820672,4471709.56100596
36,619173.820862757,1007712.79538506,4417907.00908195
37,544486.876886413,1010201.92366984,4411672.01489623
38,590896.209717199,989423.307951367,4426666.28462729
39,630823.401531183,984747.070277428,4458069.04436688
40,616560.616171215,1034431.01262324,4441339.07165428
41,625447.460125486,1025249.90442282,4440259.97875663
42,619368.891096141,979107.654536594,4471080.60018924
43,533942.349015975,1019330.40056963,4453387.96259351
44,603558.039391441,1036521.39232389,4444169.9499142
45,592197.424179862,959032.369233033,4493203.32584648
46,615546.670420269,1015789.37081041,4486132.39477715
47,633922.530117544,1019642.24144194,4523204.2528483
48,627267.434922922,1033264.14172824,4466676.74247415
49,637196.461647749,1092542.00763316,4444124.30329932
50,640837.375576958,1006331.73050137,4445423.13087889
51,645249.256057902,994332.490922204,4460234.20981543
52,598391.716378655,1013731.97315507,4465933.09599634
53,587116.469015053,1104053.3183717,4401999.3609832
54,726160.013759139,1119356.34605839,4418435.63378696
55,661561.476422423,1001099.79567784,4479223.310315
56,598082.606211104,949055.71713403,4462209.57801678
57,626442.815841638,946103.770445874,4489573.87549681
58,671090.036989168,1039125.78697867,4475671.49848919
59,632321.391551977,1056961.73995658,4481026.07914195
60,623711.950964107,1021555.62322555,4477107.99154346
61,604003.892105104,936260.030030314,4422837.81682114
62,612360.171464813,969424.094357142,4455780.63009736
63,656953.529457697,953563.3687537,4493188.61496638
64,697593.817671115,1025441.60312034,4459117.05747957
65,636893.707355368,934182.451429197,4475193.97090456
66,630700.971334714,970246.712809995,4479915.13854516
67,645893.38739364,993164.320592996,4493180.45332877
68,629793.14789623,1006550.98436213,4463934.73538265
69,608860.114276946,962394.669692419,4451668.48648276
70,624843.611779772,951152.200332075,4470841.7242027
71,597550.518028692,990042.430088315,4465785.54444996
72,597564.347167406,972282.500670912,4497253.25581006
73,658053.72305335,998233.415071726,4470492.65041897
74,578396.953400352,1029713.51814504,4476963.86255876
75,635295.040509844,926688.237063578,4483466.01256212
76,572061.784750234,916438.579630208,4478794.3870408
77,645946.308627921,954301.223527358,4471192.08512157
78,635947.888510145,1022422.69633653,4463444.57694829
79,652585.969850278,958541.190781719,4432935.76493917
80,618068.736429924,971061.52615914,4479258.96405428
81,650530.799467969,960384.571796392,4496443.10305709
82,702299.583028877,1029269.05985366,4446553.11904233
83,700460.238844733,1008944.35665039,4495391.98931726
84,602339.030089202,1009793.43439676,4480670.48885696
85,593061.978324794,1117803.60529324,4433189.67565057
86,482904.503231169,981545.589316198,4477677.39403022
87,631284.529696367,974075.716484195,4460859.31925554
88,664663.406158208,1056709.33960997,4456323.15762816
89,674823.354830777,1051718.70689344,4467768.03029651
90,591618.469782945,977831.32555444,4466763.87062831
91,682262.776123472,1036370.09783933,4463496.97875066
92,767060.538615782,1080435.8530558,4471088.5538186
93,592418.949889473,934436.447389411,4505417.98424472
94,678334.978963372,1004426.290098,4477984.52019951
95,670375.62846023,946135.650803987,4448676.91319672
96,535037.286769994,1037159.29891487,4455926.32590113
97,618490.807434437,984607.775031943,4476542.30294018
98,640661.830486586,1048979.81962251,4451291.9007283
99,602336.092934436,1077579.26061317,4406262.9484484
