sat1Name,LLO-22
sat1Smaj,3416.853
sat1Ecc,0.35378934625097935
sat1Inc,89.79486326004098
sat1RAAN,238.05691627563684
sat1ArgPer,293.0597796154166
sat1TrAnom,0
Time[EpSec],xF[km],yF[km],zF[km],xI[km],yI[km],zI[km]
0.0,968.5245285165199,-1187.624655890226,-1589.5917687695844,-463.7474489097595,-730.0469109954834,-2031.566855491638
10.0,972.5918366376028,-1199.814194275944,-1577.9365173644521,-472.1563292503357,-743.5799929199219,-2024.7295693969727
20.0,976.6142023680042,-1211.9493044892113,-1566.2094004068751,-480.5437058067322,-757.0792094268799,-2017.8000694580078
30.0,980.5914486283409,-1224.0294354510972,-1554.4109571783713,-488.90919817733766,-770.5439481811524,-2010.7786779327394
40.0,984.5234026402958,-1236.0540413728427,-1542.5417335231414,-497.25242808914186,-783.9736002502441,-2003.665725631714
50.0,988.409895928205,-1248.0225818374727,-1530.6022817951514,-505.5730194664001,-797.3675601654053,-1996.4615518875123
60.0,992.2507643183111,-1259.9345218743542,-1518.5931607089656,-513.8705984992981,-810.7252260131836,-1989.1665044326783
70.0,996.0458480174563,-1271.789332099345,-1506.5149352388175,-522.14479372406,-824.0459996032715,-1981.7809393615723
80.0,999.7949916312082,-1283.5864887945875,-1494.3681765262527,-530.3952360725402,-837.3292865600586,-1974.3052210693359
90.0,1003.4980441357086,-1295.3254739877796,-1482.153461749004,-538.6215589714051,-850.574496383667,-1966.7397221374513
100.0,1007.1548589734086,-1307.005775563506,-1469.8713739941331,-546.8233983726501,-863.7810426330566,-1959.084823272705
110.0,1010.7652940222558,-1318.6268873438519,-1457.5225021680637,-555.0003928489685,-876.9483429718017,-1951.340913230896
120.0,1014.3292116757755,-1330.1883091912682,-1445.1074408540615,-563.1521836395264,-890.0758193359375,-1943.5083887329101
130.0,1017.8464787901775,-1341.6895470671966,-1432.626790200279,-571.2784147262573,-903.1628979644776,-1935.5876543579102
140.0,1021.3169667477498,-1353.130113141337,-1420.081155789786,-579.3787328948974,-916.2090095520019,-1927.579122467041
