sat1Name,LLO-2-3
sat1Smaj,3416.853
sat1Ecc,0.359146
sat1Inc,90.188
sat1RAAN,237.221
sat1ArgPer,292.93
sat1TrAnom,0
Time[EpSec],xF[km],yF[km],zF[km],xI[km],yI[km],zI[km]
0.0,960.5211498140579,-1173.647162086259,-1579.479244544242,-456.3165794029236,-720.8578648223877,-2016.6661454849243
10.0,964.3871118980684,-1186.0615527231284,-1567.8326215413608,-465.022855091095,-734.3367624359131,-2009.8226044082642
20.0,968.2073827287082,-1198.4207649499263,-1556.1127877110252,-473.7074163818359,-747.781369934082,-2002.885213973999
30.0,971.9817902919616,-1210.7242234464638,-1544.3202957878443,-482.3698594169617,-761.1910621643067,-1995.8543051757813
40.0,975.710167050555,-1222.9713584169372,-1532.4557054423408,-491.00978256607056,-774.5652174835205,-1988.7302180099487
50.0,979.3923499925104,-1235.1616057130202,-1520.5195831775497,-499.6267865066528,-787.9032178955079,-1981.5133014221192
60.0,983.0281806013854,-1247.2944068914178,-1508.5125022184588,-508.2204742927551,-801.2044490966797,-1974.2039132080079
70.0,986.6175049867825,-1259.3692093978655,-1496.435042333628,-516.7904514465332,-814.4683007354736,-1966.8024199295044
80.0,990.1601738193493,-1271.3854666101772,-1484.2877898044637,-525.3363260192871,-827.6941663970947,-1959.309196876526
90.0,993.6560424044735,-1283.3426379617874,-1472.0713372408293,-533.8577086753845,-840.881443786621,-1951.7246279449462
100.0,997.1049706997567,-1295.240189045433,-1459.7862834825492,-542.3542127571106,-854.0295348358154,-1944.0491055755615
110.0,1000.5068233287278,-1307.077591706876,-1447.433233458207,-550.8254543685913,-867.1378458099365,-1936.2830306472779
120.0,1003.8614695813409,-1318.8543241264629,-1435.0127980911543,-559.2710524444581,-880.2057873840332,-1928.4268124084472
130.0,1007.1687835044304,-1330.5698709512199,-1422.5255940968311,-567.6906288146972,-893.2327748565674,-1920.4808683471679
140.0,1010.4286438096475,-1342.223723323338,-1409.9722439493373,-576.0838082771302,-906.2182281036377,-1912.4456241378784
150.0,1013.6409340023715,-1353.8153790411232,-1397.3533756681134,-584.4502186737061,-919.1615718383789,-1904.321513519287
160.0,1016.8055422825499,-1365.344342561731,-1384.6696227426817,-592.789490940094,-932.0622355651856,-1896.1089781951905
170.0,1019.9223616708096,-1376.8101251676758,-1371.9216239191699,-601.1012591896057,-944.9196538391113,-1887.8084677124023
180.0,1022.9912899479971,-1388.2122449991653,-1359.1100231626945,-609.3851607666015,-957.7332662506103,-1879.420439414978
190.0,1026.0122296474751,-1399.5502271191801,-1346.2354694389157,-617.6408363151551,-970.5025175323486,-1870.945358253479
200.0,1028.9850881142318,-1410.8236036216276,-1333.298616618171,-625.8679298362732,-983.2268576965332,-1862.3836967391967
210.0,1031.9097775201392,-1422.0319137093359,-1320.300123286625,-634.0660887489319,-995.9057421569825,-1853.735934791565
220.0,1034.7862147788944,-1433.1747037181076,-1307.240652678898,-642.2349639587402,-1008.5386316986084,-1845.002559654236
230.0,1037.6143216497744,-1444.2515272249814,-1294.1208724688179,-650.3742098999023,-1021.12499269104,-1836.1840657577516
240.0,1040.3940246582,-1455.2619450944003,-1280.9414546351527,-658.4834846076965,-1033.6642971038818,-1827.2809545822145
250.0,1043.1252551778755,-1466.205525548802,-1267.7030753450763,-666.5624497528077,-1046.1560226440429,-1818.293734588623
260.0,1045.8079493348187,-1477.081844220057,-1254.4064147985814,-674.6107707214355,-1058.599652770996,-1809.2229210586547
270.0,1048.442048068807,-1487.8904841991407,-1241.0521570487251,-682.6281166381835,-1070.9946768341065,-1800.0690359573364
280.0,1051.0274970905937,-1498.6310360956131,-1227.6409899109028,-690.6141604385376,-1083.3405901031495,-1790.8326078491211
290.0,1053.5642469141617,-1509.3030981070142,-1214.1736047615334,-698.5685789108277,-1095.6368939056397,-1781.514171737671
300.0,1056.0522528048734,-1519.906276034189,-1200.6506964114847,-706.4910527381898,-1107.8830956420898,-1772.1142689361573
310.0,1058.4914747754642,-1530.4401833256734,-1187.0729629901764,-714.381266544342,-1120.0787088470458,-1762.6334469680787
