,Timestamp,RFlow,RCost,Efficiency,Redundancy,Disparity,Criticity
0,0,1.0,878,0.35812481962481946,2.96,0.0,17
1,30,1.0,858,0.40838203463203476,13.03,0.0,19
2,60,1.0,814,0.4191673881673885,113.77,0.0,18
3,90,1.0,758,0.473809523809524,23.11,0.0,16
4,120,1.0,726,0.4375198412698414,8.73,0.0,14
5,150,1.0,692,0.44846428571428587,8.96,0.0,18
6,180,1.0,674,0.4544523809523813,7.75,0.0,15
7,210,1.0,682,0.4307261904761907,5.56,0.0,16
8,240,1.0,670,0.4369285714285717,3.95,0.0,18
9,270,1.0,662,0.4641666666666668,2.53,0.0,13
10,300,1.0,662,0.4670000000000002,3.18,0.0,18
11,330,1.0,684,0.468,2.85,0.0,19
12,360,1.0,692,0.4417857142857145,4.07,0.0,19
13,390,1.0,656,0.46800000000000014,3.7,0.0,17
14,420,1.0,654,0.46109523809523817,2.87,0.0,16
15,450,1.0,634,0.47259523809523835,4.37,0.0,12
16,480,1.0,668,0.4637619047619049,3.1,0.0,18
17,510,1.0,594,0.5068333333333336,7.84,0.0,14
18,540,1.0,616,0.5019285714285716,17.57,0.0,13
19,570,1.0,596,0.5240000000000002,18.16,0.0,16
20,600,1.0,648,0.5266666666666668,26.75,0.0,16
21,630,1.0,622,0.5308333333333334,6.67,0.0,10
22,660,1.0,656,0.5015000000000002,4.74,0.0,16
23,690,1.0,716,0.48276190476190495,18.73,0.0,21
24,720,1.0,724,0.47235714285714314,11.86,0.0,18
25,750,1.0,740,0.43046428571428585,6.79,0.0,17
26,780,1.0,736,0.442297619047619,11.47,0.0,16
27,810,1.0,714,0.4736666666666669,7.86,0.0,17
28,840,1.0,696,0.4473571428571428,6.79,0.0,19
29,870,1.0,674,0.4886666666666668,5.54,0.0,20
30,900,1.0,684,0.48066666666666685,3.66,0.0,16
31,930,1.0,740,0.4532619047619049,3.36,0.0,18
32,960,1.0,728,0.4689285714285716,3.06,0.0,19
33,990,0.92,608,0.4705952380952383,1.7391304347826086,0.0,14
34,1020,0.92,636,0.4463571428571431,1.891304347826087,0.0,18
35,1050,0.92,642,0.45226190476190486,2.75,0.0,17
36,1080,0.92,578,0.4506785714285715,2.7717391304347827,0.0,14
37,1110,0.88,562,0.42002380952380974,2.6136363636363638,0.0,14
38,1140,0.88,580,0.4088333333333335,3.3863636363636362,0.0,14
39,1170,0.88,602,0.4087619047619049,2.909090909090909,0.0,15
40,1200,0.88,616,0.3974285714285715,2.4204545454545454,0.0,17
41,1230,0.88,622,0.38659523809523827,1.8068181818181819,0.0,18
42,1260,0.88,630,0.3882619047619048,1.8636363636363635,0.0,17
43,1290,0.88,636,0.3887619047619048,1.6590909090909092,0.0,19
44,1320,0.88,634,0.38609523809523816,1.5795454545454546,0.0,15
45,1350,0.88,642,0.39433333333333337,1.4772727272727273,0.0,12
46,1380,0.78,518,0.3679999999999999,1.6282051282051282,0.0,11
47,1410,0.78,538,0.3606666666666666,1.3974358974358974,0.0,10
48,1440,0.78,496,0.38366666666666666,2.2435897435897436,0.0,10
49,1470,0.78,476,0.38566666666666677,2.8205128205128207,0.0,12
50,1500,0.78,588,0.35745238095238085,2.08974358974359,0.0,15
51,1530,0.78,574,0.34961904761904755,2.7051282051282053,0.0,14
52,1560,0.88,628,0.39502380952380967,2.25,0.0,15
53,1590,0.88,580,0.40076190476190476,2.2045454545454546,0.0,11
54,1620,0.88,618,0.39152380952380966,2.034090909090909,0.0,13
55,1650,0.88,638,0.38926190476190475,3.1704545454545454,0.0,16
56,1680,0.88,640,0.3852261904761905,3.3863636363636362,0.0,14
57,1710,0.92,668,0.3862103174603175,4.010869565217392,0.0,17
58,1740,0.92,668,0.3698809523809525,6.173913043478261,0.0,19
59,1770,1.0,822,0.38205952380952385,13.72,0.0,23
