,Source,Dest,Number of SP,SP length,Disparity
0,39,13,1,1,0.0
1,39,28,1,2,0.0
2,39,33,1,2,0.0
3,39,36,1,2,0.0
4,39,48,1,2,0.0
5,13,28,1,1,0.0
6,13,33,1,1,0.0
7,13,36,1,1,0.0
8,13,48,1,1,0.0
9,28,33,1,1,0.0
10,28,36,1,1,0.0
11,28,48,3,2,1.0
12,33,36,3,2,1.0
13,33,48,1,1,0.0
14,36,48,1,1,0.0
15,18,2,1,1,0.0
16,18,38,1,1,0.0
17,18,3,2,2,1.0
18,18,4,2,2,1.0
19,18,8,1,2,0.0
20,18,12,2,2,1.0
21,18,43,5,3,0.8000000000000002
22,2,38,1,1,0.0
23,2,3,1,1,0.0
24,2,4,1,1,0.0
25,2,8,1,1,0.0
26,2,12,1,1,0.0
27,2,43,2,2,1.0
28,38,3,1,1,0.0
29,38,4,1,1,0.0
30,38,8,2,2,1.0
31,38,12,1,1,0.0
32,38,43,3,2,1.0
33,3,4,1,1,0.0
34,3,8,1,1,0.0
35,3,12,1,1,0.0
36,3,43,2,2,1.0
37,4,8,2,2,1.0
38,4,12,1,1,0.0
39,4,43,1,1,0.0
40,8,12,2,2,1.0
41,8,43,4,3,0.7777777777777778
42,12,43,1,1,0.0
43,19,14,1,1,0.0
44,19,15,1,1,0.0
45,19,21,1,1,0.0
46,19,30,1,1,0.0
47,19,40,1,1,0.0
48,19,16,1,2,0.0
49,19,24,6,5,0.6133333333333333
50,19,49,7,6,0.634920634920635
51,14,15,1,1,0.0
52,14,21,1,1,0.0
53,14,30,1,1,0.0
54,14,40,1,1,0.0
55,14,16,2,2,1.0
56,14,24,5,5,0.6799999999999999
57,14,49,12,6,0.714646464646465
58,15,21,1,1,0.0
59,15,30,1,1,0.0
60,15,40,1,1,0.0
61,15,16,1,1,0.0
62,15,24,9,5,0.6444444444444445
63,15,49,1,5,0.0
64,21,30,1,1,0.0
65,21,40,1,1,0.0
66,21,16,1,2,0.0
67,21,24,43,6,0.7486157253599086
68,21,49,1,6,0.0
69,30,40,1,1,0.0
70,30,16,2,2,1.0
71,30,24,2,5,0.4
