,Source,Dest,Number of SP,SP length,Disparity
0,9,10,1,1,0.0
1,9,14,1,1,0.0
2,9,25,1,1,0.0
3,9,38,1,1,0.0
4,9,41,1,1,0.0
5,9,44,1,1,0.0
6,9,46,101,4,0.8819306930693069
7,9,24,1,2,0.0
8,9,31,3,2,1.0
9,9,26,3,5,0.4000000000000001
10,9,11,23,4,0.6689723320158103
11,10,14,1,1,0.0
12,10,25,1,1,0.0
13,10,38,1,1,0.0
14,10,41,1,1,0.0
15,10,44,1,2,0.0
16,10,46,4,3,0.6666666666666669
17,10,24,1,3,0.0
18,10,31,4,2,1.0
19,10,26,3,5,0.4000000000000001
20,10,11,1,3,0.0
21,14,25,1,1,0.0
22,14,38,1,1,0.0
23,14,41,1,1,0.0
24,14,44,1,2,0.0
25,14,46,18,3,0.8779956427015253
26,14,24,1,3,0.0
27,14,31,1,1,0.0
28,14,26,1,4,0.0
29,14,11,4,3,0.6666666666666669
30,25,38,1,1,0.0
31,25,41,1,1,0.0
32,25,44,1,2,0.0
33,25,46,106,4,0.8850853548966756
34,25,24,1,3,0.0
35,25,31,4,2,1.0
36,25,26,4,5,0.39999999999999997
37,25,11,24,4,0.6693840579710145
38,38,41,1,1,0.0
39,38,44,1,2,0.0
40,38,46,19,3,0.8771929824561399
41,38,24,1,3,0.0
42,38,31,1,1,0.0
43,38,26,1,4,0.0
44,38,11,4,3,0.6666666666666669
45,41,44,1,2,0.0
46,41,46,8,3,0.8095238095238096
47,41,24,1,3,0.0
48,41,31,4,2,1.0
49,41,26,3,5,0.4000000000000001
50,41,11,2,3,0.6666666666666667
51,44,46,101,5,0.7055445544554678
52,44,24,1,1,0.0
53,44,31,3,3,0.6666666666666666
54,44,26,3,6,0.3333333333333333
55,44,11,23,5,0.5351778656126475
56,46,24,101,6,0.5879537953795275
57,46,31,6,3,0.7999999999999997
58,46,26,2,6,0.33333333333333337
59,46,11,1,1,0.0
60,24,31,3,4,0.5
61,24,26,3,7,0.2857142857142857
62,24,11,23,6,0.4459815546772063
63,31,26,1,4,0.0
64,31,11,1,3,0.0
65,26,11,24,7,0.4099378881987589
66,23,1,1,1,0.0
67,23,4,1,1,0.0
68,23,16,1,1,0.0
69,23,32,1,1,0.0
70,23,43,1,1,0.0
71,23,18,69,6,0.5703324808184135
72,23,3,6,2,1.0
73,1,4,1,1,0.0
74,1,16,1,1,0.0
75,1,32,1,1,0.0
76,1,43,1,1,0.0
77,1,18,101,6,0.5833993399339905
78,1,3,1,1,0.0
79,4,16,1,1,0.0
80,4,32,1,1,0.0
81,4,43,1,1,0.0
82,4,18,27,6,0.4767331433998109
83,4,3,3,2,1.0
84,16,32,1,1,0.0
85,16,43,1,1,0.0
86,16,18,113,6,0.5957648546143862
87,16,3,8,2,1.0
88,32,43,1,1,0.0
89,32,18,58,6,0.5589836660617029
90,32,3,5,2,1.0
91,43,18,25,5,0.5439999999999994
92,43,3,1,1,0.0
93,18,3,32,5,0.5475806451612887
94,17,5,1,1,0.0
95,17,6,1,1,0.0
96,17,8,1,1,0.0
97,17,12,1,1,0.0
98,17,20,1,1,0.0
99,17,27,1,1,0.0
100,17,33,1,1,0.0
101,17,35,1,1,0.0
102,17,42,1,1,0.0
103,17,45,1,1,0.0
104,17,49,1,1,0.0
105,5,6,1,2,0.0
106,5,8,2,2,1.0
107,5,12,4,2,1.0
108,5,20,4,2,1.0
109,5,27,1,1,0.0
110,5,33,4,2,1.0
111,5,35,5,2,1.0
112,5,42,1,1,0.0
113,5,45,5,2,1.0
114,5,49,2,2,1.0
115,6,8,5,2,1.0
116,6,12,7,2,1.0
117,6,20,1,1,0.0
118,6,27,7,2,1.0
119,6,33,6,2,1.0
120,6,35,1,1,0.0
121,6,42,8,2,1.0
122,6,45,1,1,0.0
123,6,49,1,1,0.0
124,8,12,1,1,0.0
125,8,20,1,1,0.0
126,8,27,10,2,1.0
127,8,33,1,1,0.0
128,8,35,9,2,1.0
129,8,42,1,1,0.0
130,8,45,1,1,0.0
131,8,49,1,1,0.0
132,12,20,1,1,0.0
133,12,27,1,1,0.0
134,12,33,1,1,0.0
