,Source,Dest,Number of SP,SP length,Disparity
0,48,46,1,1,0.0
1,48,60,1,1,0.0
2,48,68,1,1,0.0
3,48,98,1,1,0.0
4,48,52,3,2,66.66666666666667
5,48,84,3,2,66.66666666666667
6,48,8,2,2,50.0
7,48,88,2,2,50.0
8,48,1,7,3,76.19142857142857
9,48,27,7,3,76.19142857142857
10,48,24,1,2,0.0
11,48,43,5,6,43.334
12,46,60,1,1,0.0
13,46,68,1,1,0.0
14,46,98,1,2,0.0
15,46,52,1,1,0.0
16,46,84,1,1,0.0
17,46,8,1,1,0.0
18,46,88,2,3,33.335
19,46,1,2,2,50.0
20,46,27,2,2,50.0
21,46,24,1,3,0.0
22,46,43,1,5,0.0
23,60,68,1,1,0.0
24,60,98,2,2,50.0
25,60,52,1,1,0.0
26,60,84,1,1,0.0
27,60,8,1,1,0.0
28,60,88,4,3,58.335
29,60,1,2,2,50.0
30,60,27,2,2,50.0
31,60,24,2,3,33.335
32,60,43,1,5,0.0
33,68,98,3,2,66.66666666666667
34,68,52,3,2,66.66666666666667
35,68,84,3,2,66.66666666666667
36,68,8,2,2,50.0
37,68,88,6,3,66.66833333333334
38,68,1,7,3,76.19142857142857
39,68,27,12,3,86.11166666666668
40,68,24,3,3,44.446666666666665
41,68,43,5,6,43.334
42,98,52,7,3,71.42999999999999
43,98,84,7,3,71.42999999999999
44,98,8,3,3,55.55666666666667
45,98,88,1,1,0.0
46,98,1,19,4,72.36842105263158
47,98,27,19,4,72.36842105263158
48,98,24,1,1,0.0
49,98,43,17,7,45.37823529411765
50,52,84,1,1,0.0
51,52,8,3,2,66.66666666666667
52,52,88,13,4,69.23076923076923
53,52,1,1,1,0.0
54,52,27,1,1,0.0
55,52,24,7,4,53.57142857142857
56,52,43,1,4,0.0
57,84,8,1,1,0.0
58,84,88,13,4,69.23076923076923
59,84,1,1,1,0.0
60,84,27,1,1,0.0
61,84,24,7,4,53.57142857142857
62,84,43,5,5,40.0
63,8,88,6,4,58.333333333333336
64,8,1,1,2,0.0
65,8,27,1,2,0.0
66,8,24,3,4,41.666666666666664
67,8,43,7,6,42.857142857142854
68,88,1,34,5,70.0
69,88,27,34,5,70.0
70,88,24,1,1,0.0
71,88,43,29,8,47.41379310344828
72,1,27,3,2,66.66666666666667
73,1,24,19,5,57.89473684210526
74,1,43,2,4,25.0
75,27,24,19,5,57.89473684210526
76,27,43,3,5,33.333333333333336
77,24,43,17,8,39.705882352941174
78,25,13,1,1,0.0
79,14,72,1,1,0.0
80,20,15,1,1,0.0
81,20,28,1,1,0.0
82,20,74,1,1,0.0
83,20,96,1,1,0.0
84,15,28,1,2,0.0
85,15,74,1,1,0.0
86,15,96,1,2,0.0
87,28,74,1,2,0.0
88,28,96,1,2,0.0
89,74,96,1,2,0.0
90,22,34,1,1,0.0
91,22,56,1,1,0.0
92,22,90,1,1,0.0
93,22,6,1,1,0.0
94,22,69,2,2,50.0
95,22,70,1,2,0.0
96,22,55,42,5,72.38095238095238
97,22,63,1,4,0.0
98,22,64,12,8,32.291666666666664
99,34,56,3,2,66.66666666666667
100,34,90,1,1,0.0
101,34,6,1,1,0.0
102,34,69,1,2,0.0
103,34,70,16,3,85.4175
104,34,55,2,4,37.5
105,34,63,3,4,33.333333333333336
106,34,64,28,8,42.410714285714285
107,56,90,1,1,0.0
108,56,6,1,1,0.0
109,56,69,1,1,0.0
110,56,70,1,1,0.0
111,56,55,6,4,66.66666666666667
112,56,63,1,3,0.0
113,56,64,60,8,56.458333333333336
114,90,6,1,1,0.0
115,90,69,1,1,0.0
116,90,70,4,2,75.0
117,90,55,20,4,73.75
118,90,63,16,4,64.0625
119,90,64,12,7,36.905
120,6,69,4,2,75.0
121,6,70,3,2,66.66666666666667
122,6,55,12,4,68.75
123,6,63,13,4,63.46153846153846
124,6,64,274,8,65.60218978102189
125,69,70,1,1,0.0
126,69,55,1,3,0.0
127,69,63,2,3,33.335
128,69,64,4,7,25.0
129,70,55,2,3,50.0
130,70,63,1,2,0.0
131,70,64,4,7,25.0
132,55,63,3,4,41.666666666666664
133,55,64,4,6,29.165
134,63,64,4,8,21.875
135,29,10,1,1,0.0
136,18,67,9,5,55.55555555555556
137,31,89,1,1,0.0
138,31,91,1,1,0.0
139,31,19,1,5,0.0
140,31,82,1,2,0.0
141,31,73,1,5,0.0
142,31,12,1,7,0.0
143,89,91,1,1,0.0
144,89,19,1,4,0.0
145,89,82,1,2,0.0
146,89,73,1,4,0.0
147,89,12,1,6,0.0
148,91,19,4,5,35.0
149,91,82,1,1,0.0
150,91,73,4,5,35.0
151,91,12,4,7,25.0
152,19,82,4,6,29.165
153,19,73,1,1,0.0
154,19,12,2,4,37.5
155,82,73,4,6,29.165
156,82,12,4,8,21.875
157,73,12,2,4,37.5
158,17,58,1,1,0.0
159,17,59,1,1,0.0
160,17,78,1,1,0.0
161,17,23,6,4,54.166666666666664
162,17,51,1,2,0.0
163,17,16,46,5,80.43478260869566
164,17,79,1,7,0.0
165,17,81,12,5,61.666666666666664
166,58,59,1,2,0.0
167,58,78,1,2,0.0
168,58,23,6,5,43.333333333333336
169,58,51,1,3,0.0
