,Source,Dest,Number of SP,SP length,Disparity
0,59,17,1,1,0.0
1,59,11,2,2,1.0
2,59,98,2,2,1.0
3,59,62,2,4,0.5
4,59,28,5,6,0.45
5,17,11,1,1,0.0
6,17,98,1,1,0.0
7,17,62,10,4,0.7611111111111111
8,17,28,12,6,0.5631313131313134
9,11,98,1,1,0.0
10,11,62,3,3,0.7777777777777778
11,11,28,3,5,0.4666666666666666
12,98,62,10,4,0.7611111111111111
13,98,28,17,6,0.5943627450980393
14,62,28,1,5,0.0
15,57,9,1,1,0.0
16,57,66,1,1,0.0
17,57,70,1,1,0.0
18,57,75,1,1,0.0
19,57,77,1,1,0.0
20,57,80,1,1,0.0
21,57,81,1,1,0.0
22,57,97,3,2,1.0
23,57,30,3,2,1.0
24,57,42,4,2,1.0
25,57,56,1,2,0.0
26,57,69,1,2,0.0
27,57,63,2,2,1.0
28,57,6,1,2,0.0
29,57,72,2,2,1.0
30,57,34,6,3,0.8222222222222222
31,57,45,6,3,0.8222222222222222
32,57,14,2,3,0.6666666666666667
33,57,0,1,2,0.0
34,9,66,1,1,0.0
35,9,70,1,1,0.0
36,9,75,2,2,1.0
37,9,77,4,2,1.0
38,9,80,1,1,0.0
39,9,81,2,2,1.0
40,9,97,1,1,0.0
41,9,30,1,1,0.0
42,9,42,1,1,0.0
43,9,56,1,2,0.0
44,9,69,3,2,1.0
45,9,63,6,3,0.8000000000000002
46,9,6,3,2,1.0
47,9,72,1,1,0.0
48,9,34,2,2,1.0
49,9,45,2,2,1.0
50,9,14,1,2,0.0
51,9,0,2,3,0.6666666666666667
52,66,70,1,1,0.0
53,66,75,2,2,1.0
54,66,77,1,1,0.0
55,66,80,1,1,0.0
56,66,81,1,1,0.0
57,66,97,1,1,0.0
58,66,30,1,1,0.0
59,66,42,1,1,0.0
60,66,56,1,2,0.0
61,66,69,3,2,1.0
62,66,63,2,2,1.0
63,66,6,2,2,1.0
64,66,72,3,2,1.0
65,66,34,1,2,0.0
66,66,45,1,2,0.0
67,66,14,3,3,0.6666666666666666
68,66,0,2,3,0.6666666666666667
69,70,75,1,1,0.0
70,70,77,1,1,0.0
71,70,80,1,1,0.0
72,70,81,3,2,1.0
73,70,97,6,2,1.0
74,70,30,6,2,1.0
75,70,42,1,1,0.0
76,70,56,1,1,0.0
77,70,69,1,1,0.0
78,70,63,1,2,0.0
79,70,6,3,2,1.0
80,70,72,2,2,1.0
81,70,34,16,3,0.9000000000000005
82,70,45,12,3,0.8737373737373735
83,70,14,2,3,0.6666666666666667
84,70,0,1,2,0.0
