,Source,Dest,Number of SP,SP length,Disparity
0,48,12,1,1,0.0
1,48,19,1,1,0.0
2,48,22,1,1,0.0
3,48,33,1,1,0.0
4,48,40,1,1,0.0
5,48,43,1,1,0.0
6,48,46,1,1,0.0
7,48,8,1,2,0.0
8,48,39,1,2,0.0
9,48,3,1,2,0.0
10,48,9,2,4,0.5
11,48,4,1,3,0.0
12,48,2,1,3,0.0
13,12,19,1,2,0.0
14,12,22,1,2,0.0
15,12,33,1,2,0.0
16,12,40,1,2,0.0
17,12,43,1,2,0.0
18,12,46,1,2,0.0
19,12,8,1,1,0.0
20,12,39,1,3,0.0
21,12,3,1,3,0.0
22,12,9,1,4,0.0
23,12,4,1,4,0.0
24,12,2,1,4,0.0
25,19,22,1,1,0.0
26,19,33,4,2,1.0
27,19,40,1,1,0.0
28,19,43,2,2,1.0
29,19,46,1,1,0.0
30,19,8,1,3,0.0
31,19,39,5,3,0.7666666666666668
32,19,3,2,3,0.6666666666666667
33,19,9,1,4,0.0
34,19,4,2,4,0.5
35,19,2,2,4,0.5
36,22,33,1,1,0.0
37,22,40,4,2,1.0
38,22,43,1,1,0.0
39,22,46,1,1,0.0
40,22,8,2,3,1.0
41,22,39,1,2,0.0
42,22,3,1,2,0.0
43,22,9,1,4,0.0
44,22,4,1,3,0.0
45,22,2,1,3,0.0
46,33,40,1,1,0.0
47,33,43,1,1,0.0
48,33,46,1,1,0.0
49,33,8,2,3,1.0
50,33,39,1,1,0.0
51,33,3,1,2,0.0
52,33,9,1,3,0.0
53,33,4,1,3,0.0
54,33,2,2,3,1.0
55,40,43,2,2,1.0
56,40,46,1,1,0.0
57,40,8,1,3,0.0
58,40,39,2,2,1.0
59,40,3,2,3,0.6666666666666667
60,40,9,1,3,0.0
61,40,4,2,4,0.5
62,40,2,4,4,0.7916666666666666
63,43,46,3,2,1.0
64,43,8,1,2,0.0
65,43,39,1,2,0.0
66,43,3,1,1,0.0
67,43,9,1,4,0.0
68,43,4,1,2,0.0
69,43,2,1,2,0.0
70,46,8,1,3,0.0
71,46,39,1,2,0.0
72,46,3,3,3,0.6666666666666666
73,46,9,2,4,0.5
74,46,4,3,4,0.5
75,46,2,4,4,0.7083333333333334
76,8,39,2,4,0.75
77,8,3,1,3,0.0
78,8,9,1,5,0.0
79,8,4,2,4,0.5
80,8,2,1,4,0.0
81,39,3,2,3,1.0
82,39,9,2,4,0.5
83,39,4,1,4,0.0
84,39,2,1,2,0.0
85,3,9,1,5,0.0
86,3,4,1,2,0.0
87,3,2,1,1,0.0
88,9,4,1,6,0.0
89,9,2,3,6,0.5
90,4,2,1,3,0.0
91,34,23,1,1,0.0
92,45,7,1,1,0.0
93,45,17,1,1,0.0
94,45,27,1,1,0.0
95,45,10,2,2,1.0
96,45,14,1,4,0.0
97,7,17,1,1,0.0
98,7,27,1,2,0.0
99,7,10,1,1,0.0
100,7,14,3,5,0.6666666666666666
101,17,27,1,2,0.0
102,17,10,1,1,0.0
103,17,14,1,5,0.0
104,27,10,2,3,0.6666666666666667
105,27,14,1,3,0.0
106,10,14,4,6,0.6111111111111112
107,41,42,1,1,0.0
108,18,24,1,1,0.0
109,35,38,1,1,0.0
110,35,30,2,4,0.5
111,38,30,2,4,0.5
112,11,15,1,1,0.0
113,11,16,1,1,0.0
114,11,37,1,1,0.0
115,15,16,1,1,0.0
116,15,37,2,2,1.0
117,16,37,2,2,1.0
118,48,12,1,1,0.0
119,48,33,1,1,0.0
120,48,40,1,1,0.0
121,48,46,1,1,0.0
122,48,14,2,3,0.6666666666666667
123,48,39,1,2,0.0
124,48,41,2,2,1.0
125,48,42,2,2,1.0
126,48,17,1,3,0.0
127,48,38,1,2,0.0
128,48,49,1,3,0.0
129,12,33,1,2,0.0
130,12,40,1,2,0.0
131,12,46,1,2,0.0
132,12,14,2,4,0.5
133,12,39,1,3,0.0
134,12,41,2,3,0.6666666666666667
135,12,42,2,3,0.6666666666666667
136,12,17,1,2,0.0
137,12,38,1,3,0.0
138,12,49,1,3,0.0
139,33,40,1,1,0.0
140,33,46,1,1,0.0
141,33,14,1,2,0.0
142,33,39,1,1,0.0
143,33,41,1,1,0.0
144,33,42,1,1,0.0
145,33,17,2,4,1.0
146,33,38,1,1,0.0
147,33,49,1,3,0.0
148,40,46,1,1,0.0
149,40,14,1,2,0.0
150,40,39,2,2,1.0
151,40,41,1,1,0.0
152,40,42,1,1,0.0
153,40,17,2,4,1.0
154,40,38,2,2,1.0
155,40,49,2,4,0.5
156,46,14,2,3,0.6666666666666667
157,46,39,1,2,0.0
158,46,41,2,2,1.0
159,46,42,2,2,1.0
160,46,17,1,4,0.0
161,46,38,1,2,0.0
162,46,49,3,4,0.5
163,14,39,1,2,0.0
164,14,41,1,2,0.0
165,14,42,1,1,0.0
166,14,17,1,5,0.0
167,14,38,2,3,0.6666666666666667
168,14,49,1,5,0.0
169,39,41,2,2,1.0
170,39,42,1,1,0.0
171,39,17,3,5,0.7333333333333334
172,39,38,1,2,0.0
173,39,49,1,4,0.0
174,41,42,1,1,0.0
175,41,17,1,3,0.0
176,41,38,1,1,0.0
177,41,49,1,4,0.0
178,42,17,1,4,0.0
179,42,38,2,2,1.0
180,42,49,1,4,0.0
181,17,38,1,4,0.0
182,17,49,1,5,0.0
183,18,44,1,1,0.0
184,38,49,1,4,0.0
185,2,3,1,1,0.0
186,2,20,1,1,0.0
187,3,20,1,2,0.0
188,16,4,1,1,0.0
189,16,11,1,1,0.0
190,16,15,1,1,0.0
191,16,23,1,1,0.0
192,16,27,1,4,0.0
193,16,34,2,2,1.0
194,4,11,1,2,0.0
195,4,15,1,2,0.0
196,4,23,1,2,0.0
197,4,27,1,5,0.0
198,4,34,2,3,0.6666666666666667
199,11,15,1,1,0.0
200,11,23,1,2,0.0
201,11,27,3,5,0.6666666666666666
202,11,34,3,3,0.7777777777777778
203,15,23,2,2,1.0
204,15,27,1,4,0.0
205,15,34,1,2,0.0
206,23,27,1,4,0.0
207,23,34,1,1,0.0
208,27,34,1,4,0.0
209,7,45,1,1,0.0
210,19,35,4,3,0.6666666666666669
211,30,37,1,1,0.0
212,30,47,1,2,0.0
213,37,47,1,1,0.0
214,22,43,1,1,0.0
215,3,2,1,1,0.0
