,Source,Dest,Number of SP,SP length,Disparity
0,0,36,1,1,0.0
1,0,48,1,1,0.0
2,0,16,1,2,0.0
3,0,43,3,3,0.7777777777777778
4,36,48,1,1,0.0
5,36,16,1,2,0.0
6,36,43,4,3,0.7777777777777778
7,48,16,1,1,0.0
8,48,43,2,2,1.0
9,16,43,1,1,0.0
10,33,38,1,1,0.0
11,33,12,1,1,0.0
12,33,7,1,1,0.0
13,33,9,1,2,0.0
14,38,12,1,1,0.0
15,38,7,2,2,1.0
16,38,9,2,3,0.6666666666666667
17,12,7,1,1,0.0
18,12,9,1,2,0.0
19,7,9,1,1,0.0
20,15,37,1,1,0.0
21,15,31,3,2,1.0
22,15,14,1,1,0.0
23,37,31,1,1,0.0
24,37,14,1,1,0.0
25,31,14,1,1,0.0
26,23,41,1,1,0.0
27,23,20,1,1,0.0
28,23,17,3,2,1.0
29,23,49,6,4,0.7
30,41,20,1,1,0.0
31,41,17,1,1,0.0
32,41,49,3,4,0.5833333333333334
33,20,17,1,1,0.0
34,20,49,3,3,0.7777777777777778
35,17,49,4,4,0.75
36,40,47,1,1,0.0
37,40,21,1,1,0.0
38,40,45,1,1,0.0
39,47,21,1,1,0.0
40,47,45,2,2,1.0
41,21,45,1,1,0.0
42,25,22,1,1,0.0
43,25,19,1,1,0.0
44,25,44,2,4,0.5
45,25,8,18,5,0.7581699346405222
46,22,19,1,1,0.0
47,22,44,2,4,0.5
48,22,8,8,5,0.6928571428571431
49,19,44,4,5,0.5333333333333333
50,19,8,2,5,0.4
51,44,8,2,4,0.5
52,13,39,1,1,0.0
53,13,18,1,3,0.0
54,13,2,3,3,0.6666666666666666
55,13,4,1,2,0.0
56,39,18,1,4,0.0
57,39,2,3,4,0.5
58,39,4,1,3,0.0
59,18,2,1,1,0.0
60,18,4,2,2,1.0
61,2,4,1,1,0.0
62,10,35,1,1,0.0
63,10,34,1,1,0.0
64,10,32,1,1,0.0
65,10,3,3,2,1.0
66,35,34,1,1,0.0
67,35,32,3,2,1.0
68,35,3,2,2,1.0
69,34,32,1,1,0.0
70,34,3,1,1,0.0
71,32,3,1,1,0.0
72,46,11,1,1,0.0
73,24,6,1,1,0.0
74,24,28,7,5,0.5809523809523812
75,6,28,4,4,0.5833333333333334
76,42,27,1,1,0.0
77,42,30,1,1,0.0
78,42,1,7,4,0.7738095238095238
79,27,30,1,1,0.0
80,27,1,10,5,0.7555555555555558
81,30,1,8,5,0.6571428571428573
82,48,36,1,1,0.0
83,48,13,1,1,0.0
84,48,39,1,2,0.0
85,48,28,3,2,1.0
86,36,13,1,1,0.0
87,36,39,1,2,0.0
88,36,28,1,1,0.0
89,13,39,1,1,0.0
90,13,28,1,1,0.0
91,39,28,1,2,0.0
92,9,6,4,3,0.7777777777777778
93,9,24,6,4,0.7
94,9,35,2,3,0.6666666666666667
95,6,24,1,1,0.0
96,6,35,1,1,0.0
97,24,35,1,1,0.0
98,2,3,1,1,0.0
99,2,1,1,2,0.0
100,2,10,4,3,0.7777777777777778
101,2,34,1,2,0.0
102,3,1,1,1,0.0
103,3,10,3,2,1.0
104,3,34,1,1,0.0
105,1,10,1,1,0.0
106,1,34,1,1,0.0
107,10,34,1,1,0.0
108,16,7,1,1,0.0
109,16,17,1,1,0.0
110,16,20,3,2,1.0
111,16,43,1,1,0.0
112,7,17,1,1,0.0
113,7,20,1,1,0.0
114,7,43,1,1,0.0
115,17,20,1,1,0.0
116,17,43,1,1,0.0
117,20,43,1,1,0.0
118,32,8,1,1,0.0
119,32,4,1,2,0.0
120,8,4,2,2,1.0
121,11,46,1,1,0.0
122,31,47,1,1,0.0
123,31,40,4,2,1.0
124,31,37,1,1,0.0
125,47,40,1,1,0.0
126,47,37,1,1,0.0
127,40,37,1,1,0.0
128,25,45,1,1,0.0
129,25,42,1,1,0.0
130,25,33,1,2,0.0
131,25,38,1,3,0.0
132,45,42,1,1,0.0
133,45,33,1,2,0.0
134,45,38,1,3,0.0
135,42,33,1,1,0.0
136,42,38,1,2,0.0
137,33,38,1,1,0.0
138,19,21,1,1,0.0
139,19,27,7,2,1.0
140,19,0,2,3,0.6666666666666667
141,21,27,1,1,0.0
142,21,0,1,2,0.0
143,27,0,3,3,0.6666666666666666
144,30,15,1,1,0.0
145,30,14,1,1,0.0
146,30,12,2,3,0.6666666666666667
147,30,44,1,5,0.0
148,15,14,1,1,0.0
149,15,12,7,3,0.7936507936507935
150,15,44,5,5,0.5199999999999999
151,14,12,2,3,0.6666666666666667
152,14,44,3,5,0.6
153,12,44,5,4,0.65
154,22,41,1,1,0.0
155,22,23,1,2,0.0
156,22,18,11,5,0.6981818181818185
157,22,49,3,5,0.4666666666666666
158,41,23,1,1,0.0
159,41,18,6,4,0.7
160,41,49,3,4,0.5833333333333334
161,23,18,3,4,0.5833333333333334
162,23,49,6,4,0.7
163,18,49,3,4,0.5833333333333334
164,36,13,1,1,0.0
165,36,39,1,2,0.0
166,13,39,1,1,0.0
167,5,29,1,1,0.0
168,48,0,1,1,0.0
169,48,47,1,3,0.0
170,48,37,4,3,0.888888888888889
171,48,10,24,5,0.7695652173913057
172,0,47,1,2,0.0
173,0,37,1,2,0.0
174,0,10,39,6,0.7435897435897437
175,47,37,1,1,0.0
176,47,10,2,6,0.33333333333333337
177,37,10,2,5,0.4
178,4,3,1,1,0.0
179,4,2,1,1,0.0
180,4,8,2,2,1.0
181,3,2,1,1,0.0
182,3,8,1,1,0.0
183,2,8,1,1,0.0
184,16,43,1,1,0.0
185,16,17,1,1,0.0
186,16,9,1,2,0.0
187,16,22,7,3,0.9206349206349207
188,43,17,1,1,0.0
189,43,9,1,2,0.0
190,43,22,4,3,0.777777777777778
191,17,9,2,2,1.0
192,17,22,1,2,0.0
193,9,22,1,1,0.0
194,7,12,1,1,0.0
195,7,38,2,2,1.0
196,7,18,3,3,0.7777777777777778
197,7,25,2,2,1.0
198,12,38,1,1,0.0
199,12,18,2,2,1.0
200,12,25,5,3,0.8666666666666666
201,38,18,1,1,0.0
202,38,25,1,3,0.0
203,18,25,1,4,0.0
204,31,14,1,1,0.0
205,31,15,3,2,1.0
206,31,45,2,2,1.0
207,14,15,1,1,0.0
208,14,45,1,1,0.0
209,15,45,1,1,0.0
210,28,33,1,1,0.0
211,28,42,1,2,0.0
212,28,27,1,3,0.0
213,28,35,3,4,0.5
214,33,42,1,1,0.0
215,33,27,1,2,0.0
216,33,35,3,3,0.6666666666666666
217,42,27,1,1,0.0
218,42,35,1,3,0.0
219,27,35,2,4,0.75
220,30,19,1,1,0.0
221,30,21,1,1,0.0
222,30,40,1,1,0.0
223,30,44,1,5,0.0
224,19,21,1,1,0.0
225,19,40,1,1,0.0
226,19,44,4,5,0.5333333333333333
227,21,40,1,1,0.0
228,21,44,26,6,0.6461538461538473
229,40,44,26,6,0.6461538461538473
230,41,20,1,1,0.0
231,41,34,1,2,0.0
232,41,32,1,3,0.0
233,41,49,3,4,0.5833333333333334
234,20,34,1,1,0.0
235,20,32,1,2,0.0
236,20,49,3,3,0.7777777777777778
237,34,32,1,1,0.0
238,34,49,2,2,1.0
239,32,49,1,1,0.0
240,24,6,1,1,0.0
241,24,23,1,2,0.0
242,24,1,1,2,0.0
243,6,23,1,1,0.0
244,6,1,2,2,1.0
245,23,1,4,3,0.7777777777777778
246,5,29,1,1,0.0
247,12,33,1,1,0.0
248,49,32,1,1,0.0
249,49,1,2,2,1.0
250,49,22,3,5,0.4666666666666666
251,49,9,7,5,0.6761904761904762
252,32,1,1,1,0.0
253,32,22,1,4,0.0
254,32,9,3,4,0.75
255,1,22,2,4,0.5
256,1,9,5,4,0.75
257,22,9,1,1,0.0
258,23,6,1,1,0.0
259,23,20,1,1,0.0
260,23,41,1,1,0.0
261,23,25,1,2,0.0
262,6,20,1,1,0.0
263,6,41,2,2,1.0
264,6,25,2,3,0.6666666666666667
265,20,41,1,1,0.0
266,20,25,1,2,0.0
267,41,25,1,1,0.0
268,10,34,1,1,0.0
269,10,35,1,1,0.0
270,10,24,1,2,0.0
271,10,44,3,3,0.7777777777777778
272,34,35,1,1,0.0
273,34,24,2,2,1.0
274,34,44,1,2,0.0
275,35,24,1,1,0.0
276,35,44,2,2,1.0
277,24,44,1,1,0.0
278,42,37,1,1,0.0
279,42,30,1,1,0.0
280,42,27,1,1,0.0
281,42,8,10,4,0.7444444444444445
282,37,30,1,1,0.0
283,37,27,1,1,0.0
284,37,8,12,5,0.6606060606060605
285,30,27,1,1,0.0
286,30,8,12,5,0.6606060606060605
287,27,8,12,5,0.6606060606060605
288,19,15,1,1,0.0
289,19,14,1,1,0.0
290,19,21,1,1,0.0
291,19,18,8,5,0.6000000000000002
292,15,14,1,1,0.0
293,15,21,1,1,0.0
294,15,18,4,4,0.6666666666666666
295,14,21,1,1,0.0
296,14,18,1,4,0.0
297,21,18,9,5,0.588888888888889
298,16,7,1,1,0.0
299,16,17,1,1,0.0
300,16,43,1,1,0.0
301,7,17,1,1,0.0
302,7,43,1,1,0.0
303,17,43,1,1,0.0
304,38,3,1,1,0.0
305,38,2,1,1,0.0
306,38,4,1,1,0.0
307,38,0,2,3,0.6666666666666667
308,3,2,1,1,0.0
309,3,4,1,1,0.0
310,3,0,7,4,0.7261904761904762
311,2,4,1,1,0.0
312,2,0,7,4,0.7261904761904762
313,4,0,3,3,0.7777777777777778
314,13,48,1,1,0.0
315,13,36,1,1,0.0
316,13,28,1,1,0.0
