,Source,Dest,Number of SP,SP length,Disparity
0,20,42,1,1,0.0
1,20,48,9,2,1.0
2,20,43,1,1,0.0
3,20,4,1,2,0.0
4,42,48,1,1,0.0
5,42,43,14,2,1.0
6,42,4,24,3,0.8526570048309169
7,48,43,1,1,0.0
8,48,4,3,2,1.0
9,43,4,1,1,0.0
10,18,28,1,1,0.0
11,18,47,25,5,0.5459999999999986
12,18,37,22,5,0.5402597402597394
13,18,15,68,6,0.5768949370793095
14,28,47,25,5,0.5459999999999986
15,28,37,22,5,0.5402597402597394
16,28,15,68,6,0.5768949370793095
17,47,37,1,1,0.0
18,47,15,3,2,1.0
19,37,15,1,1,0.0
20,36,0,1,1,0.0
21,36,38,1,2,0.0
22,36,13,1,2,0.0
23,36,2,2,3,0.6666666666666667
24,0,38,1,1,0.0
25,0,13,1,1,0.0
26,0,2,2,2,1.0
27,38,13,1,1,0.0
28,38,2,7,2,1.0
29,13,2,1,1,0.0
30,27,45,1,1,0.0
31,27,22,3,2,1.0
32,27,16,28,3,0.908289241622576
33,27,1,27,3,0.8983855650522323
34,45,22,1,1,0.0
35,45,16,4,2,1.0
36,45,1,5,2,1.0
37,22,16,1,1,0.0
38,22,1,1,1,0.0
39,16,1,1,1,0.0
40,24,44,1,1,0.0
41,24,9,1,2,0.0
42,24,41,1,3,0.0
43,24,7,7,4,0.5
44,44,9,1,1,0.0
45,44,41,1,2,0.0
46,44,7,7,3,0.6666666666666665
47,9,41,1,1,0.0
48,9,7,7,2,1.0
49,41,7,1,1,0.0
50,33,39,1,1,0.0
51,33,31,6,2,1.0
52,33,5,4,2,1.0
53,33,26,5,5,0.39999999999999997
54,39,31,1,1,0.0
55,39,5,3,2,1.0
56,39,26,1,4,0.0
57,31,5,1,1,0.0
58,31,26,1,4,0.0
59,5,26,1,4,0.0
60,32,30,1,1,0.0
61,32,23,1,1,0.0
62,32,19,8,2,1.0
63,32,3,5,2,1.0
64,30,23,1,1,0.0
65,30,19,1,1,0.0
66,30,3,1,1,0.0
67,23,19,1,1,0.0
68,23,3,6,2,1.0
69,19,3,1,1,0.0
70,35,17,1,1,0.0
71,35,25,1,1,0.0
72,35,10,1,1,0.0
73,35,6,1,1,0.0
74,17,25,1,1,0.0
75,17,10,1,1,0.0
76,17,6,1,1,0.0
77,25,10,1,1,0.0
78,25,6,4,2,1.0
79,10,6,1,1,0.0
80,40,21,1,1,0.0
81,40,34,1,1,0.0
82,40,8,1,1,0.0
83,40,46,4,2,1.0
84,21,34,1,1,0.0
85,21,8,1,1,0.0
86,21,46,4,2,1.0
87,34,8,1,1,0.0
88,34,46,2,2,1.0
89,8,46,4,2,1.0
90,29,14,1,1,0.0
91,29,12,7,2,1.0
92,29,49,2,2,1.0
93,29,11,5,3,0.7666666666666668
94,14,12,1,1,0.0
95,14,49,9,2,1.0
96,14,11,4,3,0.6666666666666669
97,12,49,1,1,0.0
98,12,11,1,2,0.0
99,49,11,9,3,0.7314814814814816
100,48,37,1,1,0.0
101,48,46,1,1,0.0
102,48,47,1,1,0.0
103,48,42,1,1,0.0
104,37,46,1,1,0.0
105,37,47,1,1,0.0
106,37,42,1,1,0.0
107,46,47,1,1,0.0
108,46,42,4,2,1.0
109,47,42,1,1,0.0
110,26,18,1,1,0.0
111,26,28,1,2,0.0
112,26,36,1,2,0.0
113,26,0,1,3,0.0
114,18,28,1,1,0.0
115,18,36,1,1,0.0
116,18,0,1,2,0.0
117,28,36,1,1,0.0
118,28,0,1,2,0.0
119,36,0,1,1,0.0
120,2,3,1,1,0.0
121,2,1,2,2,1.0
122,2,8,1,1,0.0
123,2,13,1,1,0.0
124,3,1,1,1,0.0
125,3,8,1,1,0.0
126,3,13,4,2,1.0
127,1,8,3,2,1.0
128,1,13,9,3,0.8425925925925929
129,8,13,1,1,0.0
130,16,4,1,1,0.0
131,16,23,1,1,0.0
132,16,10,7,3,0.888888888888889
133,16,14,28,3,0.9082892416225756
134,4,23,1,1,0.0
135,4,10,2,3,0.6666666666666667
136,4,14,7,3,0.7460317460317457
137,23,10,5,3,0.8
138,23,14,20,3,0.8842105263157889
139,10,14,1,1,0.0
140,32,15,1,1,0.0
141,32,43,1,1,0.0
142,32,7,2,2,1.0
143,32,35,14,3,0.8498168498168499
144,15,43,1,1,0.0
145,15,7,2,2,1.0
146,15,35,14,3,0.8791208791208793
147,43,7,1,1,0.0
148,43,35,6,2,1.0
149,7,35,1,1,0.0
150,31,27,1,1,0.0
151,31,20,4,2,1.0
152,31,41,4,2,1.0
153,31,45,4,2,1.0
154,27,20,1,1,0.0
155,27,41,1,1,0.0
156,27,45,1,1,0.0
157,20,41,1,1,0.0
158,20,45,1,1,0.0
159,41,45,1,1,0.0
160,25,9,1,1,0.0
161,25,44,1,2,0.0
162,25,24,1,3,0.0
163,25,11,24,4,0.6693840579710145
164,9,44,1,1,0.0
165,9,24,1,2,0.0
166,9,11,23,4,0.6689723320158103
167,44,24,1,1,0.0
168,44,11,23,5,0.5351778656126475
169,24,11,23,6,0.4459815546772063
170,19,34,1,1,0.0
171,19,12,1,1,0.0
172,19,38,3,2,1.0
173,19,49,6,2,1.0
174,34,12,1,1,0.0
175,34,38,7,2,1.0
176,34,49,1,1,0.0
177,12,38,1,1,0.0
178,12,49,1,1,0.0
179,38,49,1,1,0.0
180,30,21,1,1,0.0
181,30,17,1,2,0.0
182,30,6,22,3,0.8888888888888878
183,30,5,12,3,0.8484848484848482
184,21,17,1,1,0.0
185,21,6,4,2,1.0
186,21,5,5,2,1.0
187,17,6,1,1,0.0
188,17,5,1,1,0.0
189,6,5,1,2,0.0
190,22,40,1,1,0.0
191,22,33,8,2,1.0
192,22,39,30,3,0.8996168582375497
193,22,29,3,2,1.0
194,40,33,1,1,0.0
195,40,39,4,2,1.0
196,40,29,1,1,0.0
197,33,39,1,1,0.0
198,33,29,7,2,1.0
