,Source,Dest,Number of SP,SP length,Disparity
0,72,80,1,1,0.0
1,72,66,3,2,66.66666666666667
2,72,42,3,2,66.66666666666667
3,72,90,3,2,66.66666666666667
4,72,69,18,3,85.1861111111111
5,72,24,18,6,61.11055555555556
6,72,64,72,8,58.854166666666664
7,80,66,1,1,0.0
8,80,42,1,1,0.0
9,80,90,6,2,83.33333333333333
10,80,69,5,2,80.0
11,80,24,10,5,56.0
12,80,64,40,7,55.35675
13,66,42,1,1,0.0
14,66,90,3,2,66.66666666666667
15,66,69,3,2,66.66666666666667
16,66,24,11,5,60.0
17,66,64,44,7,56.81772727272726
18,42,90,1,1,0.0
19,42,69,1,1,0.0
20,42,24,10,5,56.0
21,42,64,40,7,55.35675
22,90,69,1,1,0.0
23,90,24,3,5,26.666666666666668
24,90,64,12,7,36.905
25,69,24,1,5,0.0
26,69,64,4,7,25.0
27,24,64,1,3,0.0
28,97,33,1,1,0.0
29,97,23,6,2,83.33333333333333
30,97,38,8,3,79.1675
31,97,16,2,2,50.0
32,97,27,3,2,66.66666666666667
33,97,6,6,2,83.33333333333333
34,97,71,1,1,0.0
35,97,84,1,2,0.0
36,33,23,1,1,0.0
37,33,38,2,2,50.0
38,33,16,1,1,0.0
39,33,27,1,1,0.0
40,33,6,1,1,0.0
41,33,71,1,1,0.0
42,33,84,2,2,50.0
43,23,38,1,1,0.0
44,23,16,1,1,0.0
45,23,27,1,1,0.0
46,23,6,5,2,80.0
47,23,71,1,1,0.0
48,23,84,2,2,50.0
49,38,16,1,1,0.0
50,38,27,2,2,50.0
51,38,6,8,3,75.00125
52,38,71,2,2,50.0
53,38,84,4,3,58.335
54,16,27,1,1,0.0
55,16,6,3,2,66.66666666666667
56,16,71,1,1,0.0
57,16,84,2,2,50.0
58,27,6,1,1,0.0
59,27,71,1,1,0.0
60,27,84,1,1,0.0
61,6,71,1,1,0.0
62,6,84,2,2,50.0
63,71,84,1,1,0.0
64,8,46,1,1,0.0
65,8,52,3,2,66.66666666666667
66,8,1,1,2,0.0
67,8,74,5,3,66.668
68,8,20,7,4,64.28571428571429
69,8,28,7,5,51.42857142857143
70,8,14,3,5,33.333333333333336
71,8,78,1,2,0.0
72,46,52,1,1,0.0
73,46,1,2,2,50.0
74,46,74,1,2,0.0
75,46,20,1,3,0.0
76,46,28,1,4,0.0
77,46,14,10,5,60.0
78,46,78,3,2,66.66666666666667
79,52,1,1,1,0.0
80,52,74,1,1,0.0
81,52,20,1,2,0.0
82,52,28,1,3,0.0
83,52,14,3,4,41.666666666666664
84,52,78,2,2,50.0
85,1,74,1,1,0.0
86,1,20,2,2,50.0
87,1,28,2,3,33.335
88,1,14,7,5,51.42857142857143
89,1,78,5,3,66.668
90,74,20,1,1,0.0
91,74,28,1,2,0.0
92,74,14,4,5,45.0
93,74,78,3,3,55.55666666666667
94,20,28,1,1,0.0
95,20,14,5,6,46.666
96,20,78,4,4,56.25
97,28,14,5,7,40.0
98,28,78,4,5,45.0
99,14,78,9,5,57.77777777777778
100,32,0,1,1,0.0
101,32,26,25,7,57.71200000000001
102,32,35,19,6,57.01947368421052
103,32,19,3,5,40.0
104,32,73,3,5,40.0
105,0,26,25,7,57.71200000000001
106,0,35,19,6,57.01947368421052
107,0,19,3,5,40.0
108,0,73,3,5,40.0
109,26,35,1,1,0.0
110,26,19,26,6,87.82038461538461
111,26,73,26,6,87.82038461538461
112,35,19,5,5,44.0
113,35,73,5,5,44.0
114,19,73,1,1,0.0
115,15,18,1,1,0.0
116,15,5,1,2,0.0
117,15,41,2,3,33.335
118,15,11,1,3,0.0
119,15,2,3,4,41.666666666666664
120,15,59,1,4,0.0
121,15,82,14,7,40.81642857142857
122,18,5,1,1,0.0
123,18,41,2,2,50.0
124,18,11,1,2,0.0
125,18,2,3,3,55.55666666666667
126,18,59,1,3,0.0
127,18,82,14,6,47.618571428571435
128,5,41,1,1,0.0
129,5,11,1,1,0.0
130,5,2,2,2,50.0
131,5,59,1,2,0.0
132,5,82,13,5,53.84615384615385
133,41,11,1,1,0.0
134,41,2,1,1,0.0
135,41,59,1,2,0.0
136,41,82,13,5,53.84615384615385
137,11,2,1,1,0.0
138,11,59,2,2,50.0
139,11,82,4,4,43.75
140,2,59,3,3,55.55666666666667
141,2,82,4,5,35.0
142,29,10,1,1,0.0
143,59,82,3,4,33.333333333333336
144,63,81,1,1,0.0
145,63,77,1,1,0.0
146,63,87,1,2,0.0
147,63,70,1,2,0.0
148,63,56,1,3,0.0
149,63,22,1,4,0.0
