,Source,Dest,Number of SP,SP length,Disparity
0,88,91,1,1,0.0
1,88,64,1,2,0.0
2,88,82,1,2,0.0
3,88,93,8,7,0.45918367346938777
4,88,38,12,6,0.5
5,88,16,98,6,0.8015989901115176
6,88,50,4,3,0.7777777777777778
7,88,2,2,3,0.6666666666666667
8,91,64,1,1,0.0
9,91,82,1,1,0.0
10,91,93,16,8,0.48541666666666666
11,91,38,24,7,0.533126293995859
12,91,16,190,7,0.8015435413932605
13,91,50,8,4,0.7321428571428571
14,91,2,4,4,0.5833333333333334
15,64,82,1,1,0.0
16,64,93,16,9,0.4314814814814813
17,64,38,24,8,0.46648550724637683
18,64,16,190,8,0.7013505987190197
19,64,50,8,5,0.585714285714286
20,64,2,4,5,0.4666666666666666
21,82,93,16,9,0.4314814814814813
22,82,38,24,8,0.46648550724637683
23,82,16,190,8,0.7013505987190197
24,82,50,8,5,0.585714285714286
25,82,2,4,5,0.4666666666666666
26,93,38,17,5,0.5926470588235292
27,93,16,5,4,0.6
28,93,50,13,5,0.541025641025641
29,93,2,14,6,0.4835164835164835
30,38,16,1,1,0.0
31,38,50,1,3,0.0
32,38,2,1,4,0.0
33,16,50,2,3,0.6666666666666667
34,16,2,2,4,0.5
35,50,2,1,1,0.0
36,89,31,1,1,0.0
37,89,56,15,6,0.6063492063492065
38,89,22,3,6,0.3333333333333333
39,89,45,4,6,0.4722222222222223
40,89,6,67,6,0.7075983717774741
41,89,27,15,5,0.6285714285714283
42,89,35,15,6,0.5238095238095238
43,89,51,1,3,0.0
44,89,19,1,4,0.0
45,31,56,15,7,0.5197278911564625
46,31,22,3,7,0.2857142857142857
47,31,45,4,7,0.4047619047619047
48,31,6,67,7,0.606512890094979
49,31,27,15,6,0.5238095238095238
50,31,35,15,7,0.4489795918367346
51,31,51,1,4,0.0
52,31,19,1,5,0.0
53,56,22,1,1,0.0
54,56,45,2,2,1.0
55,56,6,1,1,0.0
56,56,27,2,2,1.0
57,56,35,2,3,0.6666666666666667
58,56,51,4,3,0.777777777777778
59,56,19,6,4,0.75
60,22,45,1,1,0.0
61,22,6,1,1,0.0
62,22,27,2,2,1.0
63,22,35,2,3,0.6666666666666667
