,Source,Dest,Number of SP,SP length,Disparity
0,0,1,7,5,0.5809523809523811
1,0,2,7,4,0.7261904761904762
2,0,3,7,4,0.7261904761904762
3,0,4,3,3,0.7777777777777778
4,0,6,12,5,0.6606060606060606
5,0,7,3,3,0.7777777777777778
6,0,8,14,5,0.6813186813186809
7,0,9,6,4,0.8333333333333334
8,0,10,39,6,0.7435897435897437
9,0,12,2,3,0.6666666666666667
10,0,13,1,1,0.0
11,0,14,1,2,0.0
12,0,15,4,3,0.8333333333333334
13,0,16,1,2,0.0
14,0,17,3,3,0.7777777777777778
15,0,18,2,4,0.5
16,0,19,2,3,0.6666666666666667
17,0,20,9,4,0.7291666666666666
18,0,21,1,2,0.0
19,0,22,5,4,0.6
20,0,23,3,4,0.5833333333333334
21,0,24,21,6,0.6571428571428571
22,0,25,1,3,0.0
23,0,27,3,3,0.6666666666666666
24,0,28,2,2,1.0
25,0,30,3,3,0.6666666666666666
26,0,31,1,1,0.0
27,0,32,7,5,0.5809523809523811
28,0,33,2,2,1.0
29,0,34,16,5,0.7116666666666667
30,0,35,9,5,0.5833333333333335
31,0,36,1,1,0.0
32,0,37,1,2,0.0
33,0,38,2,3,0.6666666666666667
34,0,39,1,2,0.0
35,0,40,4,3,0.6666666666666669
36,0,41,7,4,0.7857142857142857
37,0,42,5,3,0.9
38,0,43,3,3,0.7777777777777778
39,0,44,12,6,0.5505050505050504
40,0,45,2,3,0.6666666666666667
41,0,47,1,2,0.0
42,0,48,1,1,0.0
43,0,49,7,6,0.4841269841269842
44,1,2,1,2,0.0
45,1,3,1,1,0.0
46,1,4,1,2,0.0
47,1,6,2,2,1.0
48,1,7,3,3,0.888888888888889
49,1,8,2,2,1.0
50,1,9,5,4,0.75
51,1,10,1,1,0.0
52,1,12,1,2,0.0
53,1,13,3,4,0.5
54,1,14,10,5,0.7555555555555558
55,1,15,1,4,0.0
56,1,16,1,3,0.0
57,1,17,3,3,0.888888888888889
58,1,18,2,3,0.6666666666666667
59,1,19,5,5,0.7200000000000001
60,1,20,2,2,1.0
61,1,21,1,5,0.0
62,1,22,2,4,0.5
63,1,23,4,3,0.7777777777777778
64,1,24,1,2,0.0
65,1,25,2,4,0.5
66,1,27,10,5,0.7555555555555558
67,1,28,3,4,0.5
68,1,30,8,5,0.6571428571428574
69,1,31,26,6,0.745641025641026
70,1,32,1,1,0.0
71,1,33,3,3,0.6666666666666666
72,1,34,1,1,0.0
73,1,35,1,1,0.0
74,1,36,10,5,0.6133333333333333
75,1,37,8,5,0.6571428571428574
76,1,38,1,2,0.0
77,1,39,3,5,0.4000000000000001
78,1,40,1,5,0.0
79,1,41,2,3,0.6666666666666667
80,1,42,7,4,0.7738095238095238
81,1,43,4,3,0.888888888888889
82,1,44,3,3,0.7777777777777778
83,1,45,17,5,0.8088235294117644
84,1,47,10,6,0.6148148148148148
85,1,48,4,4,0.5833333333333334
86,1,49,2,2,1.0
87,2,3,1,1,0.0
88,2,4,1,1,0.0
89,2,6,1,3,0.0
90,2,7,1,2,0.0
91,2,8,1,1,0.0
92,2,9,1,3,0.0
93,2,10,4,3,0.7777777777777778
94,2,12,1,1,0.0
95,2,13,3,3,0.6666666666666666
96,2,14,6,4,0.7
97,2,15,1,3,0.0
98,2,16,1,2,0.0
99,2,17,1,2,0.0
100,2,18,1,1,0.0
101,2,19,1,4,0.0
102,2,20,5,3,0.8666666666666666
103,2,21,1,4,0.0
104,2,22,3,4,0.5833333333333334
105,2,23,1,3,0.0
106,2,24,3,4,0.5833333333333334
107,2,25,8,4,0.7589285714285714
108,2,27,6,4,0.7
109,2,28,3,3,0.6666666666666666
110,2,30,6,4,0.7
111,2,31,20,5,0.7831578947368423
112,2,32,2,2,1.0
113,2,33,3,2,1.0
114,2,34,1,2,0.0
115,2,35,2,3,0.6666666666666667
116,2,36,10,4,0.7666666666666667
117,2,37,6,4,0.7
118,2,38,1,1,0.0
119,2,39,3,4,0.5
120,2,40,1,4,0.0
121,2,41,2,3,0.6666666666666667
122,2,42,5,3,0.8333333333333336
123,2,43,2,2,1.0
124,2,44,1,4,0.0
125,2,45,7,4,0.7619047619047619
126,2,47,8,5,0.6571428571428573
127,2,48,4,3,0.777777777777778
128,2,49,2,3,0.6666666666666667
129,3,4,1,1,0.0
130,3,6,1,2,0.0
131,3,7,1,2,0.0
132,3,8,1,1,0.0
133,3,9,1,3,0.0
134,3,10,3,2,1.0
135,3,12,1,1,0.0
136,3,13,3,3,0.6666666666666666
137,3,14,6,4,0.7
138,3,15,1,3,0.0
139,3,16,1,2,0.0
140,3,17,1,2,0.0
