,Source,Dest,Number of SP,SP length,Disparity
0,2,19,1,3,0.0
1,2,31,1,4,0.0
2,2,43,8,7,37.5
3,2,57,2,4,25.0
4,2,69,6,4,45.833333333333336
5,19,31,1,5,0.0
6,19,43,9,8,37.5
7,19,57,1,3,0.0
8,19,69,1,3,0.0
9,31,43,12,9,35.18416666666667
10,31,57,27,7,52.910000000000004
11,31,69,1,6,0.0
12,43,57,20,8,40.625
13,43,69,14,7,47.95928571428572
14,57,69,1,2,0.0
15,14,28,5,7,40.0
16,14,32,4,5,35.0
17,14,42,3,3,44.446666666666665
18,14,46,10,5,60.0
19,14,55,8,5,55.0
20,14,66,3,3,44.446666666666665
21,14,67,4,5,40.0
22,14,70,2,3,33.335
23,14,72,1,1,0.0
24,14,89,18,7,52.38111111111111
25,14,91,72,8,58.854166666666664
26,28,32,2,8,12.5
27,28,42,1,5,0.0
28,28,46,1,4,0.0
29,28,55,9,7,42.85666666666666
30,28,66,3,6,22.22
31,28,67,46,8,56.79347826086956
32,28,70,2,6,16.665
33,28,72,5,6,46.666
34,28,89,12,7,45.23833333333334
35,28,91,53,8,54.009433962264154
36,32,42,1,3,0.0
37,32,46,21,6,56.34904761904762
38,32,55,3,5,40.0
39,32,66,2,3,33.335
40,32,67,2,5,20.0
41,32,70,1,2,0.0
42,32,72,4,4,43.75
43,32,89,1,7,0.0
44,32,91,4,8,21.875
45,42,46,4,3,66.6675
46,42,55,4,3,58.335
47,42,66,1,1,0.0
48,42,67,2,3,33.335
49,42,70,1,1,0.0
50,42,72,3,2,66.66666666666667
51,42,89,10,5,56.0
52,42,91,40,6,64.58324999999999
53,46,55,1,3,0.0
54,46,66,2,3,33.335
55,46,67,4,4,50.0
56,46,70,16,4,68.75
57,46,72,10,4,75.0
58,46,89,1,3,0.0
59,46,91,4,4,43.75
60,55,66,1,2,0.0
61,55,67,1,1,0.0
62,55,70,2,3,50.0
63,55,72,8,4,68.75
64,55,89,1,4,0.0
65,55,91,4,5,35.0
66,66,67,1,2,0.0
67,66,70,1,1,0.0
68,66,72,3,2,66.66666666666667
69,66,89,11,5,58.18181818181818
70,66,91,44,6,66.28772727272727
71,67,70,1,3,0.0
72,67,72,4,4,50.0
73,67,89,3,5,26.666666666666668
