,Source,Dest,Number of SP,SP length,Disparity
0,0,1,4,6,0.4444444444444445
1,0,2,8,6,0.4285714285714287
2,0,5,22,6,0.5642135642135645
3,0,6,4,4,0.5833333333333334
4,0,7,2,4,0.5
5,0,8,2,6,0.33333333333333337
6,0,9,2,3,0.6666666666666667
7,0,11,26,6,0.5830769230769233
8,0,12,1,3,0.0
9,0,14,4,5,0.4666666666666666
10,0,15,29,7,0.5197044334975376
11,0,16,11,5,0.5381818181818183
12,0,17,1,6,0.0
13,0,18,23,6,0.5256916996047429
14,0,19,3,5,0.6000000000000001
15,0,20,2,7,0.2857142857142857
16,0,22,1,4,0.0
17,0,23,3,4,0.5
18,0,24,1,7,0.0
19,0,26,25,7,0.517619047619048
20,0,27,19,5,0.5754385964912276
21,0,28,2,8,0.25
22,0,30,9,4,0.6041666666666666
23,0,31,1,8,0.0
24,0,32,1,1,0.0
25,0,33,6,4,0.5666666666666667
26,0,34,22,5,0.6181818181818166
27,0,35,19,6,0.4795321637426897
28,0,36,9,7,0.4087301587301589
29,0,38,3,5,0.4000000000000001
30,0,39,7,4,0.5952380952380952
31,0,40,76,7,0.645213032581463
32,0,41,9,6,0.47685185185185186
33,0,42,1,3,0.0
34,0,43,2,9,0.2222222222222222
35,0,44,54,7,0.6343216531895737
36,0,45,18,5,0.6104575163398686
37,0,46,21,6,0.5531746031746033
38,0,48,18,6,0.5076252723311544
39,0,50,8,5,0.5142857142857143
40,0,51,1,4,0.0
41,0,52,2,5,0.4
42,0,55,3,5,0.6000000000000001
43,0,56,1,3,0.0
44,0,57,1,2,0.0
45,0,58,1,7,0.0
46,0,59,19,7,0.46282372598162097
47,0,60,22,6,0.5642135642135645
48,0,62,1,3,0.0
49,0,63,4,4,0.5833333333333334
50,0,64,4,9,0.2592592592592593
51,0,65,1,2,0.0
52,0,66,2,3,0.6666666666666667
53,0,67,2,5,0.4
54,0,68,17,5,0.5838235294117647
55,0,69,1,3,0.0
56,0,70,1,2,0.0
57,0,71,2,4,0.5
58,0,72,4,4,0.5833333333333334
59,0,73,3,5,0.6000000000000001
60,0,74,2,6,0.33333333333333337
61,0,75,1,1,0.0
62,0,77,3,3,0.6666666666666666
63,0,78,1,5,0.0
64,0,79,1,5,0.0
65,0,80,2,3,0.6666666666666667
66,0,81,1,3,0.0
67,0,82,4,9,0.2592592592592593
68,0,83,2,6,0.33333333333333337
69,0,84,2,5,0.4
70,0,87,1,3,0.0
71,0,88,2,7,0.2857142857142857
72,0,89,1,7,0.0
73,0,90,4,4,0.5
74,0,91,4,8,0.2916666666666667
