,Source,Dest,Shortest path length,Cutoff length,Not-too-long paths,Efficient paths,Likelihood < 50,Likelihood < 34,Likelihood < 25
0,72,80,1,3,26,12,12,12,12
1,72,66,2,4,219,176,176,122,122
2,72,42,2,4,338,277,277,214,214
3,72,90,2,4,283,233,233,144,144
4,72,69,3,5,2014,1756,1590,1590,878
5,72,24,6,8,7322,6770,5675,4134,1998
6,72,64,8,10,30935,28763,22911,7852,7852
7,80,66,1,3,64,59,59,59,59
8,80,42,1,3,87,70,70,70,70
9,80,90,2,4,652,586,586,486,486
10,80,69,2,4,499,446,446,318,318
11,80,24,5,7,2109,1979,1336,625,625
12,80,64,7,9,9118,8618,5242,2495,565
13,66,42,1,3,64,46,46,46,46
14,66,90,2,4,498,434,434,310,310
15,66,69,2,4,399,361,361,227,227
16,66,24,5,7,1875,1671,1242,686,686
17,66,64,7,9,8228,7434,4461,2076,449
18,42,90,1,3,71,59,59,59,59
19,42,69,1,3,54,51,51,51,51
20,42,24,5,7,2526,2427,1705,853,853
21,42,64,7,9,10846,10470,6654,3307,790
22,90,69,1,3,44,36,36,36,36
23,90,24,5,7,1822,1605,1052,627,627
24,90,64,7,9,7594,6732,4119,2216,619
25,69,24,5,7,1164,957,698,416,416
26,69,64,7,9,4840,4191,2791,1546,399
27,24,64,3,5,18,16,2,2,0
28,97,33,1,3,78,61,61,61,61
29,97,23,2,4,488,425,425,261,261
30,97,38,3,5,708,619,505,505,253
31,97,16,2,4,228,194,194,92,92
32,97,27,2,4,343,298,298,170,170
33,97,6,2,4,524,464,464,282,282
34,97,71,1,3,54,41,41,41,41
35,97,84,2,4,129,108,108,45,45
36,33,23,1,3,60,59,59,59,59
37,33,38,2,4,82,82,82,54,54
38,33,16,1,3,24,23,23,23,23
39,33,27,1,3,38,36,36,36,36
40,33,6,1,3,59,50,50,50,50
41,33,71,1,3,71,69,69,69,69
42,33,84,2,4,148,130,130,70,70
43,23,38,1,3,5,5,5,5,5
44,23,16,1,3,20,20,20,20,20
45,23,27,1,3,31,25,25,25,25
46,23,6,2,4,399,321,321,266,266
47,23,71,1,3,50,35,35,35,35
48,23,84,2,4,112,80,80,35,35
49,38,16,1,3,5,2,2,2,2
50,38,27,2,4,47,33,33,19,19
51,38,6,3,5,573,454,411,411,251
52,38,71,2,4,72,47,47,29,29
53,38,84,3,5,173,115,82,82,30
54,16,27,1,3,18,11,11,11,11
55,16,6,2,4,182,131,131,95,95
56,16,71,1,3,24,11,11,11,11
57,16,84,2,4,65,37,37,10,10
58,27,6,1,3,28,17,17,17,17
59,27,71,1,3,38,26,26,26,26
60,27,84,1,3,19,13,13,13,13
61,6,71,1,3,50,32,32,32,32
62,6,84,2,4,103,69,69,33,33
63,71,84,1,3,16,10,10,10,10
64,8,46,1,3,9,5,5,5,5
65,8,52,2,4,55,47,47,28,28
66,8,1,2,4,36,28,28,8,8
67,8,74,3,5,167,149,113,113,37
68,8,20,4,6,301,269,222,123,123
69,8,28,5,7,301,269,123,28,28
70,8,14,5,7,814,730,407,151,151
71,8,78,2,4,62,39,39,15,15
72,46,52,1,3,17,9,9,9,9
73,46,1,2,4,57,39,39,16,16
74,46,74,2,4,48,34,34,13,13
75,46,20,3,5,85,71,42,42,14
76,46,28,4,6,85,71,42,14,14
77,46,14,5,7,1885,1615,1222,717,717
78,46,78,2,4,122,108,108,55,55
79,52,1,1,3,18,15,15,15,15
80,52,74,1,3,12,9,9,9,9
81,52,20,2,4,27,24,24,9,9
82,52,28,3,5,27,24,9,9,0
83,52,14,4,6,469,419,335,175,175
84,52,78,2,4,113,85,85,33,33
85,1,74,1,3,14,13,13,13,13
86,1,20,2,4,24,24,24,8,8
87,1,28,3,5,24,24,8,8,0
88,1,14,5,7,1275,1120,727,360,360
89,1,78,3,5,361,272,185,185,72
90,74,20,1,3,5,5,5,5,5
91,74,28,2,4,5,5,5,0,0
92,74,14,5,7,868,785,452,213,213
93,74,78,3,5,272,218,138,138,48
94,20,28,1,3,1,1,1,1,1
95,20,14,6,8,1319,1192,823,505,211
96,20,78,4,6,452,363,284,157,157
97,28,14,7,9,1319,1192,505,211,0
98,28,78,5,7,452,363,157,46,46
99,14,78,5,7,2310,2060,1384,678,678
100,32,0,1,3,2,2,2,2,2
101,32,26,7,9,10117,8964,6405,3847,1569
102,32,35,6,8,4146,3590,2837,1517,0
103,32,19,5,7,561,473,252,103,103
104,32,73,5,7,667,579,289,118,118
105,0,26,7,9,10117,8964,6405,3847,1569
106,0,35,6,8,4146,3590,2837,1517,0
107,0,19,5,7,561,473,252,103,103
108,0,73,5,7,667,579,289,118,118
109,26,35,1,3,1,1,1,1,1
110,26,19,6,8,6470,5784,5186,4325,3248
111,26,73,6,8,7229,6543,5818,4856,3659
112,35,19,5,7,1618,1448,954,407,407
113,35,73,5,7,1834,1664,1061,446,446
114,19,73,1,3,9,5,5,5,5
115,15,18,1,3,11,8,8,8,8
116,15,5,2,4,47,37,37,13,13
117,15,41,3,5,142,125,56,56,9
118,15,11,3,5,159,137,64,64,15
119,15,2,4,6,380,344,244,98,98
120,15,59,4,6,293,277,176,64,64
121,15,82,7,9,3865,3636,1561,595,105
122,18,5,1,3,15,11,11,11,11
123,18,41,2,4,64,56,56,10,10
124,18,11,2,4,83,67,67,17,17
125,18,2,3,5,195,174,101,101,20
126,18,59,3,5,152,142,68,68,6
127,18,82,6,8,2141,1993,1285,559,103
128,5,41,1,3,28,24,24,24,24
129,5,11,1,3,34,25,25,25,25
130,5,2,2,4,86,75,75,33,33
131,5,59,2,4,61,52,52,13,13
132,5,82,5,7,967,878,434,108,108
133,41,11,1,3,32,23,23,23,23
134,41,2,1,3,10,10,10,10,10
135,41,59,2,4,52,41,41,13,13
136,41,82,5,7,871,762,343,79,79
137,11,2,1,3,11,11,11,11,11
138,11,59,2,4,58,53,53,29,29
139,11,82,4,6,167,162,111,33,33
140,2,59,3,5,152,127,91,91,30
141,2,82,5,7,390,358,141,32,32
142,29,10,1,3,1,1,1,1,1
143,59,82,4,6,67,56,32,6,6
144,63,81,1,3,4,2,2,2,2
145,63,77,1,3,4,2,2,2,2
146,63,87,2,4,39,16,16,4,4
147,63,70,2,4,45,25,25,6,6
148,63,56,3,5,127,80,42,42,9
149,63,22,4,6,747,700,638,479,479
150,63,9,3,5,288,227,180,180,30
151,81,77,1,3,10,6,6,6,6
152,81,87,2,4,127,99,99,32,32
153,81,70,2,4,105,86,86,48,48
154,81,56,3,5,450,423,355,355,206
155,81,22,4,6,2661,2405,2177,1367,1367
156,81,9,2,4,104,93,93,60,60
157,77,87,1,3,22,9,9,9,9
158,77,70,1,3,26,14,14,14,14
159,77,56,2,4,85,52,52,21,21
160,77,22,3,5,524,491,438,438,300
161,77,9,2,4,190,152,152,109,109
162,87,70,1,3,55,48,48,48,48
163,87,56,2,4,301,259,259,146,146
164,87,22,3,5,1831,1675,1447,1447,615
165,87,9,1,3,56,50,50,50,50
166,70,56,1,3,15,10,10,10,10
167,70,22,2,4,122,91,91,70,70
168,70,9,1,3,43,32,32,32,32
169,56,22,1,3,11,8,8,8,8
170,56,9,2,4,236,229,229,169,169
171,22,9,3,5,1341,1154,964,964,396
172,57,75,1,3,10,10,10,10,10
173,57,65,1,3,14,13,13,13,13
174,57,12,2,4,35,30,30,13,13
175,57,95,3,5,35,30,13,13,0
176,57,79,4,6,35,30,13,0,0
177,57,34,3,5,885,749,638,638,333
178,57,43,8,10,10209,9441,6580,1550,1550
179,57,96,7,9,10209,9441,6580,4124,1550
180,75,65,1,3,7,5,5,5,5
181,75,12,2,4,20,18,18,8,8
182,75,95,3,5,20,18,8,8,0
183,75,79,4,6,20,18,8,0,0
184,75,34,4,6,2966,2492,2396,1781,1781
185,75,43,8,10,2734,2499,890,57,57
186,75,96,7,9,2734,2499,890,368,57
187,65,12,1,3,4,4,4,4,4
188,65,95,2,4,4,4,4,0,0
189,65,79,3,5,4,4,0,0,0
190,65,34,4,6,3682,3137,3027,2344,2344
191,65,43,8,10,3232,2961,1111,100,100
192,65,96,7,9,3232,2961,1111,492,100
193,12,95,1,3,1,1,1,1,1
194,12,79,2,4,1,1,1,0,0
195,12,34,4,6,1097,1010,860,528,528
196,12,43,9,11,11536,10822,5170,2445,568
197,12,96,8,10,11536,10822,7756,2445,2445
198,95,79,1,3,1,1,1,1,1
199,95,34,5,7,1097,1010,528,143,143
200,95,43,10,12,11536,10822,5170,568,0
201,95,96,9,11,11536,10822,5170,2445,568
202,79,34,6,8,1097,1010,528,143,0
203,79,43,11,13,11536,10822,2445,0,0
204,79,96,10,12,11536,10822,5170,568,0
205,34,43,7,9,1454,1244,473,158,0
206,34,96,6,8,1454,1244,837,473,158
207,43,96,1,3,1,1,1,1,1
208,60,68,1,3,23,18,18,18,18
209,60,50,2,4,120,101,101,51,51
210,60,39,2,4,81,54,54,16,16
211,60,62,3,5,684,565,453,453,296
212,60,30,3,5,597,526,421,421,281
213,60,45,4,6,1542,1402,1280,977,977
214,60,93,5,7,1542,1402,977,500,500
215,60,31,4,6,244,221,139,46,46
216,68,50,1,3,22,17,17,17,17
217,68,39,1,3,17,9,9,9,9
218,68,62,2,4,177,137,137,67,67
219,68,30,2,4,172,153,153,77,77
220,68,45,3,5,425,406,280,280,85
221,68,93,4,6,425,406,280,85,85
222,68,31,4,6,325,290,217,80,80
223,50,39,1,3,11,8,8,8,8
224,50,62,2,4,104,71,71,15,15
225,50,30,3,5,982,819,643,643,162
226,50,45,4,6,2521,2214,1995,1265,1265
227,50,93,5,7,2521,2214,1265,276,276
228,50,31,4,6,245,217,147,50,50
229,39,62,1,3,61,37,37,37,37
230,39,30,2,4,571,458,458,317,317
231,39,45,3,5,1563,1346,1166,1166,598
232,39,93,4,6,1563,1346,1166,598,598
233,39,31,5,7,801,746,413,132,132
234,62,30,1,3,85,69,69,69,69
235,62,45,2,4,233,208,208,119,119
236,62,93,3,5,233,208,119,119,0
237,62,31,6,8,3162,2963,2206,1246,286
238,30,45,1,3,21,18,18,18,18
239,30,93,2,4,21,18,18,0,0
240,30,31,6,8,2574,2400,1466,784,169
241,45,93,1,3,1,1,1,1,1
242,45,31,7,9,5326,4986,2353,1087,208
243,93,31,8,10,5326,4986,2353,208,208
244,83,94,1,3,1,1,1,1,1
245,83,7,2,4,10,5,5,0,0
246,83,51,3,5,37,25,6,6,0
247,83,55,2,4,9,5,5,0,0
248,83,67,3,5,23,15,4,4,0
249,83,36,6,8,548,448,264,99,0
250,94,7,1,3,10,5,5,5,5
251,94,51,2,4,37,25,25,6,6
252,94,55,1,3,9,5,5,5,5
253,94,67,2,4,23,15,15,4,4
254,94,36,5,7,548,448,264,99,99
255,7,51,1,3,18,14,14,14,14
256,7,55,1,3,14,14,14,14,14
257,7,67,1,3,10,10,10,10,10
258,7,36,4,6,244,203,162,73,73
259,51,55,1,3,12,8,8,8,8
260,51,67,2,4,37,29,29,6,6
261,51,36,3,5,90,73,41,41,0
262,55,67,1,3,9,9,9,9,9
263,55,36,4,6,151,128,76,4,4
264,67,36,5,7,548,448,264,99,99
265,48,98,1,3,24,23,23,23,23
266,48,40,1,3,24,22,22,22,22
267,48,44,2,4,100,92,92,34,34
268,48,17,1,3,21,20,20,20,20
269,48,88,2,4,62,60,60,21,21
270,48,89,2,4,43,39,39,6,6
271,48,58,2,4,43,39,39,6,6
272,48,91,3,5,148,146,98,98,27
273,98,40,1,3,15,9,9,9,9
274,98,44,2,4,69,59,59,38,38
275,98,17,1,3,17,14,14,14,14
276,98,88,1,3,8,6,6,6,6
277,98,89,2,4,38,34,34,8,8
278,98,58,2,4,37,34,34,8,8
279,98,91,2,4,30,26,26,10,10
280,40,44,1,3,10,9,9,9,9
281,40,17,2,4,99,78,78,38,38
282,40,88,2,4,43,31,31,13,13
283,40,89,3,5,178,148,89,89,14
284,40,58,3,5,177,148,89,89,14
285,40,91,3,5,109,93,61,61,30
286,44,17,3,5,372,328,247,247,61
287,44,88,3,5,166,136,101,101,37
288,44,89,4,6,651,586,478,192,192
289,44,58,4,6,650,586,478,192,192
290,44,91,4,6,376,336,283,185,185
291,17,88,1,3,12,9,9,9,9
292,17,89,1,3,8,6,6,6,6
293,17,58,1,3,8,6,6,6,6
294,17,91,2,4,25,24,24,11,11
295,88,89,1,3,10,9,9,9,9
296,88,58,1,3,9,9,9,9,9
297,88,91,1,3,8,7,7,7,7
298,89,58,1,3,9,9,9,9,9
299,89,91,1,3,8,8,8,8,8
300,58,91,1,3,8,7,7,7,7
