,Source,Dest,Shortest path length,Cutoff length,Not-too-long paths,Efficient paths,Likelihood < 50,Likelihood < 34,Likelihood < 25
0,23,69,1,2,5,5,5,5,5
1,23,90,1,2,7,7,7,7,7
2,23,56,2,3,28,28,28,17,17
3,23,22,2,3,16,16,16,6,6
4,23,18,2,3,9,9,9,2,2
5,23,74,3,4,31,31,21,21,9
6,23,52,2,3,15,15,15,7,7
7,23,79,6,7,196,196,129,60,0
8,69,90,1,2,6,6,6,6,6
9,69,56,1,2,4,4,4,4,4
10,69,22,2,3,15,15,15,9,9
11,69,18,3,4,44,44,33,33,8
12,69,74,4,5,159,159,145,100,100
13,69,52,3,4,90,90,78,78,42
14,69,79,5,6,24,24,6,0,0
15,90,56,1,2,5,5,5,5,5
16,90,22,1,2,4,4,4,4,4
17,90,18,2,3,9,9,9,2,2
18,90,74,3,4,33,33,23,23,11
19,90,52,2,3,17,17,17,9,9
20,90,79,6,7,265,265,180,87,0
21,56,22,1,2,3,3,3,3,3
22,56,18,3,4,29,29,20,20,4
23,56,74,4,5,103,103,91,60,60
24,56,52,3,4,58,58,48,48,24
25,56,79,5,6,15,15,2,0,0
26,22,18,3,4,22,22,12,12,2
27,22,74,4,5,79,79,66,40,40
28,22,52,3,4,43,43,32,32,13
29,22,79,6,7,50,50,28,20,0
30,18,74,1,2,4,4,4,4,4
31,18,52,1,2,6,6,6,6,6
32,18,79,7,8,116,116,29,4,0
33,74,52,1,2,3,3,3,3,3
34,74,79,8,9,488,488,328,52,52
35,52,79,7,8,343,343,166,48,0
36,73,51,1,2,4,4,4,4,4
37,73,39,2,3,14,14,14,6,6
38,73,42,3,4,54,54,39,39,13
39,73,62,3,4,44,44,30,30,11
40,73,80,3,4,52,52,38,38,12
41,73,87,2,3,7,7,7,2,2
42,73,8,4,5,36,36,25,10,10
43,73,82,6,7,62,62,20,3,0
44,51,39,1,2,5,5,5,5,5
45,51,42,2,3,24,24,24,12,12
46,51,62,2,3,20,20,20,9,9
47,51,80,2,3,22,22,22,11,11
48,51,87,1,2,2,2,2,2,2
49,51,8,3,4,25,25,17,17,6
50,51,82,5,6,50,50,17,3,3
51,39,42,1,2,8,8,8,8,8
52,39,62,1,2,7,7,7,7,7
53,39,80,1,2,7,7,7,7,7
54,39,87,1,2,8,8,8,8,8
55,39,8,3,4,26,26,18,18,9
56,39,82,6,7,296,296,224,120,29
57,42,62,1,2,12,12,12,12,12
