,Source,Dest,Number of SP,SP length,Disparity
0,0,1,101,4,0.8750990099009901
1,0,2,2,2,1.0
2,0,3,32,3,0.9126344086021531
3,0,4,27,4,0.7150997150997151
4,0,5,1,1,0.0
5,0,6,23,3,0.8761528326745707
6,0,7,3,2,1.0
7,0,8,3,2,1.0
8,0,9,3,2,1.0
9,0,10,3,2,1.0
10,0,11,24,4,0.717391304347826
11,0,12,3,2,1.0
12,0,13,1,1,0.0
13,0,14,1,1,0.0
14,0,15,68,4,0.865342405618964
15,0,16,113,4,0.8936472819216182
16,0,17,4,2,1.0
17,0,18,1,2,0.0
18,0,19,11,3,0.8484848484848483
19,0,20,3,2,1.0
20,0,21,2,2,1.0
21,0,22,8,3,0.8333333333333334
22,0,23,69,4,0.8554987212276215
23,0,24,3,4,0.5
24,0,25,4,2,1.0
25,0,26,1,3,0.0
26,0,27,1,1,0.0
27,0,28,1,2,0.0
28,0,29,3,2,1.0
29,0,30,2,3,0.6666666666666667
30,0,31,1,1,0.0
31,0,32,58,4,0.838475499092559
32,0,33,5,2,1.0
33,0,34,23,3,0.8959156785243729
34,0,35,3,2,1.0
35,0,36,1,1,0.0
36,0,37,22,3,0.9004329004328995
37,0,38,1,1,0.0
38,0,39,1,1,0.0
39,0,40,34,3,0.9162210338680945
40,0,41,3,2,1.0
41,0,42,7,2,1.0
42,0,43,25,3,0.906666666666666
43,0,44,3,3,0.6666666666666666
44,0,45,3,2,1.0
45,0,46,2,3,0.6666666666666667
46,0,47,25,3,0.9099999999999996
47,0,48,22,3,0.9004329004328995
48,0,49,1,2,0.0
49,1,2,2,2,1.0
50,1,3,1,1,0.0
51,1,4,1,1,0.0
52,1,5,1,3,0.0
53,1,6,15,3,0.8698412698412705
54,1,7,4,2,1.0
55,1,8,3,2,1.0
56,1,9,164,4,0.8965659135118959
57,1,10,8,3,0.8333333333333336
58,1,11,8,3,0.6666666666666666
59,1,12,5,2,1.0
60,1,13,9,3,0.8425925925925929
61,1,14,27,3,0.8983855650522321
62,1,15,1,1,0.0
63,1,16,1,1,0.0
64,1,17,33,3,0.9027777777777801
65,1,18,101,6,0.5833993399339905
66,1,19,1,1,0.0
67,1,20,3,2,1.0
68,1,21,6,2,1.0
69,1,22,1,1,0.0
70,1,23,1,1,0.0
71,1,24,164,6,0.5977106090079918
72,1,25,165,4,0.896840354767184
73,1,26,101,7,0.5000565770862867
74,1,27,27,3,0.8983855650522321
75,1,28,101,6,0.5833993399339905
76,1,29,21,3,0.8873015873015867
77,1,30,1,1,0.0
78,1,31,1,3,0.0
79,1,32,1,1,0.0
80,1,33,3,2,1.0
81,1,34,1,1,0.0
82,1,35,24,3,0.8913043478260856
83,1,36,101,5,0.7000792079208074
84,1,37,8,2,1.0
85,1,38,27,3,0.893637226970561
86,1,39,9,3,0.8425925925925929
87,1,40,6,2,1.0
88,1,41,18,3,0.8801742919389975
89,1,42,1,2,0.0
90,1,43,1,1,0.0
91,1,44,164,5,0.7172527308095699
92,1,45,5,2,1.0
93,1,46,19,3,0.8732943469785567
94,1,47,3,2,1.0
95,1,48,6,2,1.0
96,1,49,3,2,1.0
97,2,3,1,1,0.0
98,2,4,1,2,0.0
99,2,5,1,2,0.0
100,2,6,1,2,0.0
101,2,7,9,2,1.0
102,2,8,1,1,0.0
103,2,9,30,3,0.9088122605364
104,2,10,1,2,0.0
105,2,11,2,2,1.0
106,2,12,1,1,0.0
107,2,13,1,1,0.0
108,2,14,5,2,1.0
109,2,15,2,2,1.0
110,2,16,3,2,1.0
111,2,17,6,2,1.0
112,2,18,2,4,0.5
113,2,19,7,2,1.0
114,2,20,9,2,1.0
115,2,21,1,1,0.0
116,2,22,6,2,1.0
117,2,23,1,2,0.0
118,2,24,30,5,0.5452873563218374
119,2,25,31,3,0.9096774193548407
120,2,26,2,5,0.4
121,2,27,5,2,1.0
122,2,28,2,4,0.5
123,2,29,4,2,1.0
124,2,30,7,2,1.0
125,2,31,3,2,1.0
126,2,32,1,2,0.0
127,2,33,1,1,0.0
128,2,34,10,2,1.0
129,2,35,4,2,1.0
130,2,36,2,3,0.6666666666666667
131,2,37,1,1,0.0
132,2,38,7,2,1.0
133,2,39,1,1,0.0
134,2,40,1,1,0.0
135,2,41,2,2,1.0
136,2,42,1,1,0.0
137,2,43,1,1,0.0
138,2,44,30,4,0.6816091954022988
139,2,45,9,2,1.0
140,2,46,1,1,0.0
141,2,47,1,1,0.0
142,2,48,1,1,0.0
143,2,49,1,1,0.0
144,3,4,3,2,1.0
145,3,5,1,2,0.0
146,3,6,4,2,1.0
147,3,7,1,1,0.0
148,3,8,1,1,0.0
149,3,9,46,3,0.9194847020933937
150,3,10,3,2,1.0
151,3,11,1,2,0.0
152,3,12,1,1,0.0
153,3,13,4,2,1.0
154,3,14,7,2,1.0
155,3,15,6,2,1.0
156,3,16,8,2,1.0
157,3,17,9,2,1.0
158,3,18,32,5,0.5475806451612882
159,3,19,1,1,0.0
160,3,20,1,1,0.0
161,3,21,1,1,0.0
