,Source,Dest,Shortest path length,Cutoff length,Not-too-long paths,Efficient paths,Likelihood < 50,Likelihood < 34,Likelihood < 25
0,0,1,6,8,3177,2765,1666,685,101
1,0,2,6,8,2131,1903,1229,475,144
2,0,5,6,8,7623,6713,5564,3812,1066
3,0,6,4,6,664,538,447,259,259
4,0,7,4,6,232,202,144,61,61
5,0,8,6,8,2199,2014,1158,622,172
6,0,9,3,5,94,70,37,37,0
7,0,11,6,8,5829,5083,4191,2616,1036
8,0,12,3,5,26,24,10,10,0
9,0,14,5,7,398,311,131,0,0
10,0,15,7,9,13279,11779,8287,4301,1308
11,0,16,5,7,2762,2414,1389,334,334
12,0,17,6,8,1731,1559,1124,708,181
13,0,18,6,8,7398,6487,5554,3739,1088
14,0,19,5,7,561,473,252,103,103
15,0,20,7,9,2867,2632,926,384,59
16,0,22,4,6,199,150,110,24,24
17,0,23,4,6,615,503,355,78,78
18,0,24,7,9,1980,1751,811,234,12
19,0,26,7,9,10117,8964,6405,3847,1569
20,0,27,5,7,4140,3590,2847,688,688
21,0,28,8,10,2867,2632,926,59,59
22,0,30,4,6,1037,863,760,435,435
23,0,31,8,10,2412,2237,1095,77,77
24,0,32,1,3,2,2,2,2,2
25,0,33,4,6,1037,882,750,426,426
26,0,34,5,7,3261,2787,2002,498,498
27,0,35,6,8,4146,3590,2837,1517,0
28,0,36,7,9,3806,3322,1423,587,0
29,0,38,5,7,842,730,213,31,31
30,0,39,4,6,841,685,572,309,309
31,0,40,7,9,25462,22836,17007,10344,3184
32,0,41,6,8,3806,3322,2505,1423,587
33,0,42,3,5,121,83,24,24,0
34,0,43,9,11,2867,2632,384,59,0
35,0,44,7,9,20500,18303,14384,10303,4335
36,0,45,5,7,2543,2161,1467,357,357
37,0,46,6,8,5706,5011,4260,2893,1436
38,0,48,6,8,5376,4815,3639,1937,572
39,0,50,5,7,1401,1173,437,79,79
40,0,51,4,6,274,213,129,32,32
41,0,52,5,7,1250,1065,370,48,48
42,0,55,5,7,619,531,264,105,105
43,0,56,3,5,35,24,1,1,0
44,0,57,2,4,13,8,8,0,0
45,0,58,7,9,2023,1848,852,246,12
46,0,59,7,9,7088,6374,4799,3149,721
47,0,60,6,8,6874,6050,5165,3536,1750
48,0,62,3,5,102,61,13,13,0
49,0,63,4,6,114,103,61,7,7
50,0,64,9,11,8332,7589,3192,1236,205
51,0,65,2,4,10,8,8,0,0
52,0,66,3,5,115,88,45,45,0
53,0,67,5,7,347,317,116,31,31
54,0,68,5,7,2284,1917,949,208,208
55,0,69,3,5,64,49,9,9,0
