,Source,Dest,Shortest path length,Cutoff length,Not-too-long paths,Efficient paths,Likelihood < 50,Likelihood < 34,Likelihood < 25
0,0,1,6,6,4,4,1,0,0
1,0,2,6,6,8,8,5,1,0
2,0,5,6,6,22,22,19,16,5
3,0,6,4,4,4,4,3,2,2
4,0,7,4,4,2,2,1,0,0
5,0,8,6,6,2,2,0,0,0
6,0,9,3,3,2,2,1,1,0
7,0,11,6,6,26,26,22,15,7
8,0,12,3,3,1,1,0,0,0
9,0,14,5,5,4,4,1,0,0
10,0,15,7,7,29,29,23,10,6
11,0,16,5,5,11,11,6,1,1
12,0,17,6,6,1,1,0,0,0
13,0,18,6,6,23,23,20,17,4
14,0,19,5,5,3,3,1,1,1
15,0,20,7,7,2,2,0,0,0
16,0,22,4,4,1,1,0,0,0
17,0,23,4,4,3,3,2,0,0
18,0,24,7,7,1,1,0,0,0
19,0,26,7,7,25,25,19,6,6
20,0,27,5,5,19,19,15,1,1
21,0,28,8,8,2,2,0,0,0
22,0,30,4,4,9,9,8,5,5
23,0,31,8,8,1,1,0,0,0
24,0,32,1,1,1,1,1,1,1
25,0,33,4,4,6,6,5,4,4
26,0,34,5,5,22,22,17,5,5
27,0,35,6,6,19,19,16,13,0
28,0,36,7,7,9,9,2,1,0
29,0,38,5,5,3,3,0,0,0
30,0,39,4,4,7,7,6,4,4
31,0,40,7,7,76,76,57,37,16
32,0,41,6,6,9,9,6,2,1
33,0,42,3,3,1,1,0,0,0
34,0,43,9,9,2,2,0,0,0
35,0,44,7,7,54,54,43,37,28
36,0,45,5,5,18,18,14,5,5
37,0,46,6,6,21,21,17,10,4
38,0,48,6,6,18,18,14,7,1
39,0,50,5,5,8,8,3,0,0
40,0,51,4,4,1,1,0,0,0
41,0,52,5,5,2,2,0,0,0
42,0,55,5,5,3,3,1,1,1
43,0,56,3,3,1,1,0,0,0
44,0,57,2,2,1,1,1,0,0
45,0,58,7,7,1,1,0,0,0
46,0,59,7,7,19,19,16,14,5
47,0,60,6,6,22,22,18,11,5
48,0,62,3,3,1,1,0,0,0
49,0,63,4,4,4,4,3,0,0
50,0,64,9,9,4,4,0,0,0
51,0,65,2,2,1,1,1,0,0
52,0,66,3,3,2,2,1,1,0
53,0,67,5,5,2,2,0,0,0
54,0,68,5,5,17,17,11,3,3
55,0,69,3,3,1,1,0,0,0
56,0,70,2,2,1,1,1,0,0
57,0,71,4,4,2,2,1,0,0
58,0,72,4,4,4,4,3,1,1
59,0,73,5,5,3,3,1,1,1
60,0,74,6,6,2,2,0,0,0
61,0,75,1,1,1,1,1,1,1
