,Timestamp,Nb groups,Rcost
0,0,1,5012
1,12,1,5034
2,24,1,4080
3,36,1,4108
4,48,1,4178
5,60,1,4312
6,72,1,4738
7,84,1,4854
8,96,1,4968
9,108,1,5054
10,120,1,5108
11,132,1,5186
12,144,1,5420
13,156,1,4716
14,168,1,5464
15,180,1,5652
16,192,1,5502
17,204,1,5560
18,216,1,5698
19,228,1,5506
20,240,1,5744
21,252,1,5820
22,264,1,5840
23,276,1,5884
24,288,1,4730
25,300,1,4796
26,312,1,6240
27,324,1,6060
28,336,1,6296
29,348,1,6178
30,360,1,6210
31,372,1,6022
32,384,1,5886
33,396,1,5920
34,408,1,5114
35,420,1,5248
36,432,1,5280
37,444,1,5312
38,456,1,5432
39,468,1,5424
40,480,1,5884
41,492,1,5990
42,504,1,6010
43,516,1,6058
44,528,1,6194
45,540,1,6344
46,552,1,7436
47,564,1,7896
48,576,1,7914
49,588,1,6790
50,600,1,7036
51,612,1,5944
52,624,1,6194
53,636,1,5986
54,648,1,5894
55,660,1,6052
56,672,1,6178
57,684,1,6146
58,696,1,6076
59,708,1,6906
60,720,1,6062
61,732,1,6002
62,744,1,5908
63,756,1,5834
64,768,1,5680
65,780,1,5672
66,792,1,6040
67,804,1,6062
68,816,1,5570
69,828,1,5790
70,840,1,6436
71,852,1,4930
72,864,1,4604
73,876,1,4442
74,888,1,4614
75,900,1,4656
76,912,1,4776
77,924,1,4394
78,936,1,3566
79,948,1,3664
80,960,1,3684
81,972,1,3690
82,984,1,3502
83,996,1,3558
84,1008,1,3486
85,1020,1,3478
86,1032,1,3590
87,1044,1,3952
88,1056,1,4172
89,1068,1,4002
90,1080,1,4110
91,1092,1,4242
92,1104,1,5138
93,1116,1,5146
94,1128,1,5134
95,1140,1,4922
96,1152,1,4940
97,1164,1,7314
98,1176,1,7008
99,1188,1,6926
100,1200,1,4110
101,1212,1,3790
102,1224,1,3254
103,1236,1,3266
104,1248,1,3358
105,1260,1,3382
106,1272,1,4106
107,1284,1,4012
108,1296,1,3864
109,1308,1,3854
110,1320,1,3842
111,1332,1,3806
112,1344,1,5872
113,1356,1,5890
114,1368,1,5016
115,1380,1,5046
116,1392,1,6986
117,1404,1,7204
118,1416,1,6914
119,1428,1,6886
120,1440,1,6752
121,1452,1,6398
122,1464,1,6226
123,1476,1,6090
124,1488,1,5848
125,1500,1,5652
126,1512,1,9736
127,1524,1,5880
128,1536,1,5814
129,1548,1,5516
130,1560,1,5298
131,1572,1,5080
132,1584,1,5004
133,1596,1,4876
134,1608,1,4378
135,1620,1,4586
136,1632,1,4488
137,1644,1,4098
138,1656,1,4042
139,1668,1,3976
140,1680,1,3884
141,1692,1,4022
142,1704,1,4400
143,1716,1,5924
144,1728,1,5696
145,1740,1,5172
146,1752,1,4954
147,1764,1,5052
148,1776,1,4984
149,1788,1,4992
150,0,1,5012
151,12,1,5034
152,24,1,4080
153,36,1,4108
154,48,1,4178
155,60,1,4312
156,72,1,4738
157,84,1,4854
158,96,1,4968
159,108,1,5054
160,120,1,5108
161,132,1,5186
162,144,1,5420
163,156,1,4716
164,168,1,5464
165,180,1,5652
166,192,1,5502
167,204,1,5560
168,216,1,5698
169,228,1,5506
170,240,1,5744
171,252,1,5820
172,264,1,5840
173,276,1,5884
174,288,1,4730
175,300,1,4796
176,312,1,6240
177,324,1,6060
178,336,1,6296
179,348,1,6178
180,360,1,6210
181,372,1,6022
182,384,1,5886
183,396,1,5920
184,408,1,5114
185,420,1,5248
186,432,1,5280
187,444,1,5312
188,456,1,5432
189,468,1,5424
190,480,1,5884
191,492,1,5990
192,504,1,6010
193,516,1,6058
194,528,1,6194
195,540,1,6344
196,552,1,7436
197,564,1,7896
198,576,1,7914
199,588,1,6790
200,600,1,7036
201,612,1,5944
202,624,1,6194
203,636,1,5986
204,648,1,5894
205,660,1,6052
206,672,1,6178
207,684,1,6146
208,696,1,6076
209,708,1,6906
210,720,1,6062
211,732,1,6002
212,744,1,5908
213,756,1,5834
214,768,1,5680
215,780,1,5672
216,792,1,6040
217,804,1,6062
218,816,1,5570
219,828,1,5790
220,840,1,6436
221,852,1,4930
222,864,1,4604
223,876,1,4442
224,888,1,4614
225,900,1,4656
226,912,1,4776
227,924,1,4394
228,936,1,3566
229,948,1,3664
230,960,1,3684
231,972,1,3690
232,984,1,3502
233,996,1,3558
234,1008,1,3486
235,1020,1,3478
236,1032,1,3590
237,1044,1,3952
238,1056,1,4172
239,1068,1,4002
240,1080,1,4110
241,1092,1,4242
242,1104,1,5138
243,1116,1,5146
244,1128,1,5134
245,1140,1,4922
246,1152,1,4940
247,1164,1,7314
248,1176,1,7008
249,1188,1,6926
250,1200,1,4110
251,1212,1,3790
252,1224,1,3254
253,1236,1,3266
254,1248,1,3358
255,1260,1,3382
256,1272,1,4106
257,1284,1,4012
258,1296,1,3864
259,1308,1,3854
260,1320,1,3842
261,1332,1,3806
262,1344,1,5872
263,1356,1,5890
264,1368,1,5016
265,1380,1,5046
266,1392,1,6986
267,1404,1,7204
268,1416,1,6914
269,1428,1,6886
270,1440,1,6752
271,1452,1,6398
272,1464,1,6226
273,1476,1,6090
274,1488,1,5848
275,1500,1,5652
276,1512,1,9736
277,1524,1,5880
278,1536,1,5814
279,1548,1,5516
280,1560,1,5298
281,1572,1,5080
282,1584,1,5004
283,1596,1,4876
284,1608,1,4378
285,1620,1,4586
286,1632,1,4488
287,1644,1,4098
288,1656,1,4042
289,1668,1,3976
290,1680,1,3884
291,1692,1,4022
292,1704,1,4400
293,1716,1,5924
294,1728,1,5696
295,1740,1,5172
296,1752,1,4954
297,1764,1,5052
298,1776,1,4984
299,1788,1,4992
300,0,1,5012
301,12,1,5034
302,24,1,4080
303,36,1,4108
304,48,1,4178
305,60,1,4312
306,72,1,4738
307,84,1,4854
308,96,1,4968
309,108,1,5054
310,120,1,5108
311,132,1,5186
312,144,1,5420
313,156,1,4716
314,168,1,5464
315,180,1,5652
316,192,1,5502
317,204,1,5560
318,216,1,5698
319,228,1,5506
320,240,1,5744
321,252,1,5820
322,264,1,5840
323,276,1,5884
324,288,1,4730
325,300,1,4796
326,312,1,6240
327,324,1,6060
328,336,1,6296
329,348,1,6178
330,360,1,6210
331,372,1,6022
332,384,1,5886
333,396,1,5920
334,408,1,5114
335,420,1,5248
336,432,1,5280
337,444,1,5312
338,456,1,5432
339,468,1,5424
340,480,1,5884
341,492,1,5990
342,504,1,6010
343,516,1,6058
344,528,1,6194
345,540,1,6344
346,552,1,7436
347,564,1,7896
348,576,1,7914
349,588,1,6790
350,600,1,7036
351,612,1,5944
352,624,1,6194
353,636,1,5986
354,648,1,5894
355,660,1,6052
356,672,1,6178
357,684,1,6146
358,696,1,6076
359,708,1,6906
360,720,1,6062
361,732,1,6002
362,744,1,5908
363,756,1,5834
364,768,1,5680
365,780,1,5672
366,792,1,6040
367,804,1,6062
368,816,1,5570
369,828,1,5790
370,840,1,6436
371,852,1,4930
372,864,1,4604
373,876,1,4442
374,888,1,4614
375,900,1,4656
376,912,1,4776
377,924,1,4394
378,936,1,3566
379,948,1,3664
380,960,1,3684
381,972,1,3690
382,984,1,3502
383,996,1,3558
384,1008,1,3486
385,1020,1,3478
386,1032,1,3590
387,1044,1,3952
388,1056,1,4172
389,1068,1,4002
390,1080,1,4110
391,1092,1,4242
392,1104,1,5138
393,1116,1,5146
394,1128,1,5134
395,1140,1,4922
396,1152,1,4940
397,1164,1,7314
398,1176,1,7008
399,1188,1,6926
400,1200,1,4110
401,1212,1,3790
402,1224,1,3254
403,1236,1,3266
404,1248,1,3358
405,1260,1,3382
406,1272,1,4106
407,1284,1,4012
408,1296,1,3864
409,1308,1,3854
410,1320,1,3842
411,1332,1,3806
412,1344,1,5872
413,1356,1,5890
414,1368,1,5016
415,1380,1,5046
416,1392,1,6986
417,1404,1,7204
418,1416,1,6914
419,1428,1,6886
420,1440,1,6752
421,1452,1,6398
422,1464,1,6226
423,1476,1,6090
424,1488,1,5848
425,1500,1,5652
426,1512,1,9736
427,1524,1,5880
428,1536,1,5814
429,1548,1,5516
430,1560,1,5298
431,1572,1,5080
432,1584,1,5004
433,1596,1,4876
434,1608,1,4378
435,1620,1,4586
436,1632,1,4488
437,1644,1,4098
438,1656,1,4042
439,1668,1,3976
440,1680,1,3884
441,1692,1,4022
442,1704,1,4400
443,1716,1,5924
444,1728,1,5696
445,1740,1,5172
446,1752,1,4954
447,1764,1,5052
448,1776,1,4984
449,1788,1,4992
450,0,1,5012
451,12,1,5034
452,24,1,4080
453,36,1,4108
454,48,1,4178
455,60,1,4312
456,72,1,4738
457,84,1,4854
458,96,1,4968
459,108,1,5054
460,120,1,5108
461,132,1,5186
462,144,1,5420
463,156,1,4716
464,168,1,5464
465,180,1,5652
466,192,1,5502
467,204,1,5560
468,216,1,5698
469,228,1,5506
470,240,1,5744
471,252,1,5820
472,264,1,5840
473,276,1,5884
474,288,1,4730
475,300,1,4796
476,312,1,6240
477,324,1,6060
478,336,1,6296
479,348,1,6178
480,360,1,6210
481,372,1,6022
482,384,1,5886
483,396,1,5920
484,408,1,5114
485,420,1,5248
486,432,1,5280
487,444,1,5312
488,456,1,5432
489,468,1,5424
490,480,1,5884
491,492,1,5990
492,504,1,6010
493,516,1,6058
494,528,1,6194
495,540,1,6344
496,552,1,7436
497,564,1,7896
498,576,1,7914
499,588,1,6790
500,600,1,7036
501,612,1,5944
502,624,1,6194
503,636,1,5986
504,648,1,5894
505,660,1,6052
506,672,1,6178
507,684,1,6146
508,696,1,6076
509,708,1,6906
510,720,1,6062
511,732,1,6002
512,744,1,5908
513,756,1,5834
