node_id,x,y,z
0,-485074.678663292,-706653.009498108,-2026363.46336954
1,-416730.457242747,-711449.610260252,-2013985.12080213
2,-483908.427834889,-760844.777451009,-2023770.1845056
3,-352703.40729365294,-640991.661243582,-2034950.02852509
4,-457421.163517887,-666330.96572567,-1985844.42258975
5,-454635.95597181603,-739467.088967822,-2018777.33234731
6,-423822.11374774296,-693079.060304235,-2033733.90184913
7,-463822.377904549,-710055.708861518,-2004695.14938024
8,-417276.14003461704,-675866.187442782,-2007666.08226784
9,-450570.05289547704,-709565.2448618921,-2007467.58188223
10,-460375.33150986204,-794042.15463242,-1977073.75525104
11,-458066.47668205,-734366.7624471029,-2024861.7874911998
12,-441562.822534999,-650231.686675122,-2050558.60494541
13,-510518.55256974703,-748070.706286265,-1976620.70563547
14,-434304.601916174,-705052.727993385,-1980435.40173355
15,-402564.273825228,-700308.183830111,-2019772.36596444
16,-489051.296500744,-796701.97853303,-2014886.87913847
17,-449626.879830037,-717156.33612937,-2007519.44783608
18,-421821.36398388,-711596.252868337,-2030087.2011328998
19,-469605.48461940704,-708682.82459046,-2024723.26970388
20,-436895.034014945,-770710.12818747,-2008728.2024013
21,-456036.85743186896,-685643.862720832,-2053282.56160482
22,-436523.48042955896,-706748.022348382,-2034904.14648154
23,-431240.918207751,-700461.352980731,-2051156.57652504
24,-458650.714684382,-736440.663221295,-2020757.15078701
25,-498039.07316458,-728170.5174868341,-2000866.08101046
26,-392483.04485160206,-672881.363245455,-2042144.74552499
27,-440943.64399981796,-724705.966738243,-2024699.57585678
28,-444504.017907454,-778838.616146289,-2002060.98376459
29,-448315.12685557397,-770298.9813660741,-1999203.71924892
30,-427959.48837756604,-678753.5060083,-2024893.78965431
31,-468860.09230276104,-725245.6815180479,-1976427.10908278
32,-441512.57794588,-646080.862221434,-2028224.27469603
33,-448233.574068356,-717533.949100457,-2027625.52938778
34,-383514.990749561,-617144.103146285,-2050496.69062486
35,-462156.604290283,-774030.6277750159,-2002917.50719307
36,-465916.71598394704,-770927.528635288,-2045836.13970824
37,-430409.616210308,-770074.5237587079,-2069682.57343916
38,-449049.137722362,-742207.20236222,-2058284.36527789
39,-428223.53811646,-674922.350039341,-2045502.37423534
40,-454229.844636268,-739101.168283792,-2027815.04991177
41,-464196.87138434796,-747710.9671641929,-2025197.57073347
42,-450952.902645269,-710054.4105367991,-2020571.46456492
43,-401991.176039083,-718986.8334200641,-2047170.23896212
44,-462003.35063914396,-770936.1862884591,-2014540.48610971
45,-424253.04014411604,-681843.05797919,-2020366.17287522
46,-475009.16710057,-768049.550646482,-1973243.41650326
47,-439744.557915227,-698519.413066513,-1960598.94608729
48,-470830.26272165705,-763327.881112903,-1989276.84677394
49,-468758.452887236,-786083.4761920959,-1987689.03903379
50,-459676.18677229603,-726180.8815186209,-2029992.53638273
51,-486330.557683844,-758820.739085757,-2001329.74599425
52,-460115.986332909,-762086.502177529,-2002173.87185788
53,-479742.775513388,-843152.9115796691,-2013550.50605342
54,-549731.1240385129,-845855.3611936659,-1951824.35296637
55,-466340.25560207,-717785.903809501,-1994587.53739864
56,-424562.43962194206,-671227.580301395,-2056510.14469905
57,-458462.786566307,-694594.533939439,-2011683.68528789
58,-473209.69212875,-731807.6049453359,-1981098.69916744
59,-469387.99602535897,-765775.846187992,-1966917.11921245
60,-412693.339660806,-672111.285108609,-2021837.61042186
61,-469991.56743975397,-733400.196139507,-2071967.47638041
62,-427089.31805549795,-677293.9842893811,-2053876.58278305
63,-454616.75970118,-676708.437004072,-2007399.03914907
64,-493162.66662744,-733836.7818260171,-1992219.01345019
65,-437451.308803464,-659153.88958989,-2041876.27819254
66,-434648.69358048897,-671042.1168345971,-2026668.58037722
67,-452427.840407292,-709309.328667755,-1990229.69393451
68,-425287.847273978,-685153.7243973571,-2031865.57457557
69,-418943.581316989,-660998.490948178,-2066428.89277185
70,-453771.46334290795,-707451.881877579,-2026980.60100715
71,-445936.217841135,-731096.610696025,-2021097.99842861
72,-428362.59885089204,-683053.650006113,-2011157.92741438
73,-457963.716094815,-705265.56268665,-2010373.77357927
74,-411078.31217174,-703385.47355909,-2017497.6575797
75,-460906.191931025,-696867.737112933,-2019954.11729961
76,-417247.53836785,-668743.57985766,-2052948.71684293
77,-440508.738259234,-669316.570991654,-2036346.91962709
78,-451652.679693973,-725528.314159688,-2010013.69160753
79,-477081.902415355,-719098.430540725,-2051414.77764735
80,-472960.5961297,-747747.5553142341,-1998268.56601069
81,-486362.776703404,-725997.194689034,-1982087.86626456
82,-521410.08531905396,-781333.712308128,-1981505.96175608
83,-494752.350295865,-746915.0746173309,-1954092.19611384
84,-443292.438144103,-723432.2806648641,-2003063.11013295
85,-474083.530717158,-832603.120895496,-1981406.7449716
86,-342375.533328748,-647913.104296856,-2068505.83539805
87,-446438.676685303,-690953.622881249,-2037009.02213659
88,-513054.885212835,-807818.344438293,-1963441.79541963
89,-493518.205298355,-771045.50506122,-1968094.86844487
90,-442315.89078788797,-721315.660222985,-2027729.86063755
91,-509694.03978422703,-786333.1643175491,-1966605.78196532
92,-511820.395358182,-746778.376701058,-1944314.08156028
93,-411747.919266123,-643460.87807707,-2026855.46547569
94,-474271.863193639,-718007.92351444,-1990523.33086849
95,-483793.952358,-712009.26345423,-2036092.62264045
96,-439020.43030048703,-777773.6487527791,-2014444.4291253998
97,-460408.29988416,-729866.764297097,-2005782.80077251
98,-491450.569567475,-786744.0074378309,-1986689.09408509
99,-449813.28303839103,-772533.416037959,-2044471.88411439
